requete,formattage,lat,lng
"rue+Ambroise+Thomas,Paris","Rue Ambroise Thomas, 75009 Paris, France",48.8744762,2.3473387
"rue+Pillet-Will,Paris","Rue Pillet-Will, 75009 Paris, France",48.87319859999999,2.3364531
"boulevard+de+Magenta,Paris","Boulevard de Magenta, Paris, France",48.8760943,2.3561299
"rue+du+Faubourg+Poissonniere,Paris","Rue du Faubourg Poissonniere, Paris, France",48.8769704,2.3488751
"rue+du+Marechal+Leclerc,Paris","Rue du Marechal Leclerc, Paris, France",48.8179178,2.4446742
"boulevard+Maillot,Paris","Boulevard Maillot, Paris, France",48.8784716,2.2742542
"rue+des+Anglais,Paris","Rue des Anglais, 75005 Paris, France",48.8506423,2.3475226
"cite+d'Austerlitz,Paris","Cite d'Austerlitz, 75005 Paris, France",48.84204099999999,2.3625529
"rue+des+Fosses+Saint-Bernard,Paris","Rue des Fosses Saint-Bernard, 75005 Paris, France",48.8488096,2.3553502
"rue+Claude+Bernard,Paris","Rue Claude Bernard, 75005 Paris, France",48.8399131,2.3469847
"quai+Saint-Bernard,Paris","Quai Saint-Bernard, 75005 Paris, France",48.8473341,2.3602228
"place+Marcelin+Berthelot,Paris","Place Marcelin Berthelot, 75005 Paris, France",48.8491479,2.3456217
"rue+Berthollet,Paris","Rue Berthollet, 75005 Paris, France",48.838822,2.3457345
"rue+Blainville,Paris","Rue Blainville, 75005 Paris, France",48.8444795,2.3486531
"impasse+Bouvart,Paris","Impasse Bouvart, 75005 Paris, France",48.84850309999999,2.3466165
"rue+de+Candolle,Paris","Rue de Candolle, 75005 Paris, France",48.8399462,2.351125
"rue+des+Carmes,Paris","Rue des Carmes, 75005 Paris, France",48.8491362,2.3475847
"rue+Champollion,Paris","Rue Champollion, 75005 Paris, France",48.8499163,2.34296
"rue+des+Chantiers,Paris","Rue des Chantiers, 75005 Paris, France",48.8489989,2.3547714
"rue+Clovis,Paris","Rue Clovis, 75005 Paris, France",48.8461552,2.3490945
"impasse+Royer-Collard,Paris","Impasse Royer-Collard, 75005 Paris, France",48.8457087,2.3409032
"place+de+la+Contrescarpe,Paris","Place de la Contrescarpe, 75005 Paris, France",48.84449069999999,2.3495851
"rue+Cuvier,Paris","Rue Cuvier, 75005 Paris, France",48.84533099999999,2.357968
"rue+Descartes,Paris","Rue Descartes, 75005 Paris, France",48.8462654,2.3490755
"rue+d'Ecosse,Paris","Rue d'Ecosse, 75005 Paris, France",48.8481914,2.3465412
"place+de+l'Estrapade,Paris","Place de l'Estrapade, 75005 Paris, France",48.84519390000001,2.3451421
"rue+de+l'Estrapade,Paris","Rue de l'Estrapade, 75005 Paris, France",48.8447971,2.3466287
"rue+du+Pot+de+Fer,Paris","Rue du Pot de Fer, 75005 Paris, France",48.8429054,2.3484456
