rue;x;y
Avenue de Saxe;23103;488479
Avenue de Segur;23084;488501
Avenue de Selves;23120;488677
Avenue de Suffren;23002;488515
Avenue de Taillebourg;23976;488495
Avenue de Tourville;23103;488539
Avenue de Valois;23124;488803
Avenue de Valois;23130;488804
Avenue de Versailles;22703;488440
Avenue de Verzy;22874;488812
Avenue de Villiers;23036;488840
Avenue de Wagram;23001;488807
Avenue Debidour;23970;488814
Avenue Delecourt;22921;488457
Avenue Denfert-Rochereau;23345;488365
Avenue des Canadiens;24571;488171
Avenue des Chasseurs;23060;488871
Avenue des Gobelins;23527;488355
Avenue des Minimes;24399;488402
Avenue des Nations Unies;22908;488605
Avenue des Pavillons;22878;488820
Avenue des Peupliers;22625;488492
Avenue des Sycomores;22626;488501
Avenue des Ternes;22914;488792
Avenue des Terroirs de France;23882;488317
Avenue des Tilleuls;22636;488510
Avenue des Tribunes;24293;488276
Avenue Despreaux;22621;488435
Avenue Dorian;23946;488477
Avenue du Bel air;23974;488465
Avenue du Belvedere;24070;488807
Avenue du Cimetiere des Batignolles;23129;488959
Avenue du Colonel Bonnet;22787;488551
Avenue du Colonel Henri Rol-Tanguy;23320;488339
Avenue du Coq;23298;488755
Avenue du Dr Arnold Netter;24055;488440
Avenue du Dr Brouardel;22957;488552
Avenue du Dr Gley;24110;488769
Avenue du Dr Lannelongue;23304;488187
Avenue du General Balfourier;22595;488449
Avenue du General Clavery;22599;488361
Avenue du General Detrie;22985;488534
Avenue du General Dodds;24051;488338
Avenue du General Dubail;22718;488538
Avenue du General Eisenhower;23117;488670
Avenue du General Ferrie;22963;488568
Avenue du General Laperrine;24072;488341
Avenue du General Leclerc;23282;488293
Avenue du General Lemonnier;23313;488621
Avenue du General Margueritte;22995;488554
Avenue du General Michel Bizot;24018;488354
Avenue du General San Martin;23796;488782
Avenue du General Tripier;22967;488546
Avenue du Mahatma Gandhi;22624;488758
Avenue du Maine;23233;488365
Avenue du Marechal Fayolle;22716;488689
Avenue du Marechal Franchet d'Esperey;22621;488555
