rue;x;y
Passage Brantome;23525;488615
Passage Briare;23436;488770
Passage Briquet;23446;488834
Passage Brulon;23801;488496
Passage Bullourde;23770;488547
Passage Cardinet;23112;488860
Passage Chanvin;23711;488320
Passage Charlemagne;23601;488546
Passage Charles Albert;23317;488966
Passage Charles Dallery;23778;488548
Passage Chaussin;24016;488392
Passage Choiseul;23355;488680
Passage Collin;23358;488823
Passage Cottin;23461;488877
Passage d'Enfer;23318;488387
Passage d'Eupatoria;23871;488690
Passage de Beaujolais;23374;488663
Passage de Clery;23461;488679
Passage de Crimee;23741;488924
Passage de Dantzig;22968;488320
Passage de Flandre;23737;488870
Passage de Gergovie;23129;488342
Passage de l'Ancre;23526;488643
Passage de l'Asile;23746;488595
Passage de l'Atlas;23767;488752
Passage de l'Industrie;23543;488712
Passage de l'Union;23053;488563
Passage de l'Yonne;23857;488324
Passage de la Bonne Graine;23770;488519
Passage de la Boule Blanche;23726;488517
Passage de la Brie;23722;488808
Passage de la Duee;23960;488713
Passage de la Folie-Regnault;23861;488605
Passage de la Madeleine;23237;488709
Passage de la Main d'Or;23780;488521
Passage de la Petite Voirie;23737;488642
Passage de la Providence;24037;488539
Passage de la Reine de Hongrie;23460;488638
Passage de la Tour de Vanves;23232;488347
Passage de la Trinite;23512;488658
Passage de la Vierge;23065;488558
Passage de Lagny;24089;488502
Passage de Melun;23764;488838
Passage de Montpensier;23364;488641
Passage de Verdun;23814;488877
Passage Delessert;23655;488789
Passage Depaquit;23339;488878
Passage des 2 Pavillons;23390;488661
Passage des 2 Surs;23420;488749
Passage des Arts;23216;488352
Passage des Charbonniers;23097;488451
Passage des Cloys;23364;488920
Passage des Crayons;23744;488301
Passage des Ecoliers;22918;488448
Passage des Epinettes;23255;488432
Passage des Fours A Chaux;23737;488795
Passage des Gravilliers;23569;488634
Passage des Marais;23610;488711
Passage des Mauxins;24044;488774
Passage des Patriarches;23498;488411
Passage des Petites Ecuries;23522;488731
Passage des Petits Peres;23403;488664
Passage des Postes;23491;488410
Passage des Princes;23391;488713
Passage des Rondeaux;23961;488649
Passage des Saint-Simoniens;23965;488707
Passage des Singes;23578;488578
Passage des Soupirs;23963;488685
Passage des Taillandiers;23748;488538
Passage des Tourelles;24045;488752
Passage Desgrais;23733;488915
Passage Dieu;24038;488560
Passage Doisy;22920;488782
Passage Dombasle;23007;488359
Passage Driancourt;23810;488493
Passage du Bourg l'Abbe;23505;488645
Passage du Bureau;23940;488545
Passage du Champ A Loup;23313;488966
Passage du Chantier;23733;488513
Passage du Charolais;23870;488406
Passage du Clos Bruneau;23476;488486
Passage du Commerce Saint-Martin;23529;488626
Passage du Desir;23565;488733
Passage du Genie;23894;488484
Passage du Havre;23278;488751
Passage du Jeu de Boules;23670;488655
Passage du Marche;23573;488710
Passage du Maure;23533;488618
Passage du Montenegro;24009;488768
Passage du Moulin des Pres;23532;488290
Passage du Moulinet;23540;488264
Passage du Perron;23380;488650
Passage du Plateau;23849;488781
Passage du Ponceau;23524;488675
Passage du Pont aux Biches;23586;488677
Passage du Poteau;23365;488974
Passage du Prado;23538;488700
Passage du Ruisseau de Menilmontant;23933;488686
Passage du S;23821;488845
Passage du Surmelin;24055;488699
Passage du Telegraphe;23983;488741
Passage du Trone;23983;488494
Passage Dubois;23826;488846
Passage Dubuffet;23887;488330
Passage Dudouy;23808;488625
Passage Duhesme;23478;488959
Passage Dumas;23911;488523
Passage Duris;23885;488643
Passage Foubert;23529;488252
Passage Frequel;24021;488572
Passage Ganneron;23267;488899
Passage Gatbois;23789;488444
Passage Geffroy-Didelot;23173;488821
Passage Goix;23658;488850
Passage Guenot;23912;488517
Passage Guilhem;23797;488619
Passage Gustave Lepeu;23872;488562
Passage Hebrard;23725;488729
Passage Hennel;23802;488454
Passage Hulot;23369;488655
Passage Jaillot;23508;488434
Passage Jean Beausire;23677;488542
Passage Jean Nicot;23078;488589
Passage Joanes;23168;488285
Passage Josseaume;24024;488550
Passage Josset;23766;488529
Passage Jouffroy;23422;488725
Passage Julien Lacroix;23846;488702
Passage Kracher;23488;488949
Passage Landrieu;23042;488590
Passage Legendre;23265;488917
Passage Lemoine;23529;488685
Passage Lepic;23343;488845
Passage Lisa;23771;488583
Passage Louis-Philippe;23729;488540
Passage Marignan;23067;488695
Passage Meslay;23592;488684
Passage Moliere;23515;488622
Passage Moncey;23258;488899
Passage Mondetour;23469;488622
Passage Monplaisir;23856;488655
Passage national;23690;488236
Passage Ormeaux-Grands Champs;24006;488510
Passage Penel;23424;488960
Passage Perreur;24045;488680
Passage Petit Cerf;23166;488935
Passage Piat;23869;488707
Passage Piver;23745;488704
Passage Planchard;24016;488708
Passage Plantin;23881;488713
Passage Poncelet;22975;488799
Passage Potier;23367;488650
Passage Pouchet;23222;488962
Passage Raguinot;23786;488449
Passage Ramey;23468;488898
Passage Rauch;23791;488540
Passage Reilhac;23547;488719
Passage Ribet;23000;488460
Passage Rochebrune;23800;488617
Passage Saint-Ambroise;23774;488632
Passage Saint-Ange;23277;488963
Passage Saint-Antoine;23763;488530
Passage Saint-Bernard;23798;488513
Passage Saint-Jules;23363;488970
Passage Saint-Maur;23786;488638
Passage Saint-Michel;23254;488886
Passage Saint-Paul;23616;488545
Passage Saint-Pierre Amelot;23697;488626
Passage Saint-Roch;23327;488651
Passage Saint-Sabin;23727;488552
Passage Saint-Sebastien;23696;488617
Passage Sainte-Anne;23355;488680
Passage Sainte-Anne Popincourt;23699;488582
Passage Sainte-Avoie;23560;488608
Passage Sainte-Foy;23515;488683
Passage Salarnier;23738;488570
Passage Savart;24033;488550
Passage Securite;22963;488490
Passage Sigaud;23481;488280
Passage Singer;22757;488563
Passage Stendhal;24009;488616
Passage Stinville;23884;488440
Passage Tenaille;23251;488338
Passage Thiere;23737;488540
Passage Tourlaque;23334;488880
Passage Trubert-Bellier;23511;488244
Passage Turquetil;23927;488513
Passage Vallet;23595;488330
Passage Vandrezanne;23536;488271
Passage Verdeau;23422;488734
Passage Verite;23383;488632
Passage Viallet;23812;488564
Passage Victor Marchand;23422;488288
Passage Wattieaux;23751;488941
Passerelle Debilly;22975;488617
Passerelle Simone-de-Beauvoir;23783;488354
Passerelle Solferino;23247;488618
Peristyle de Beaujolais;23388;488658
Peristyle de Chartres;23364;488637
Peristyle de Joinville;23377;488661
Peristyle de Montpensier;23363;488640
Peristyle de Valois;23377;488636
Passage Philippe Auguste;23902;488582
Pl. de l'Escadrille Normandie-Niemen;23711;488315
Pl. Jean-Pierre Levy;23193;488805
Pl. Mireille-Havet;23836;488503
Place Adolphe Max;23301;488830
Place Albert Cohen;22726;488395
Place Albert Kahn;23459;488957
Place Albert Londres;23630;488241
Place Alfred Kastler;23459;488421
Place Alphonse Allais;23821;488706
Place Alphonse Deville;23274;488505
Place Alphonse Laveran;23408;488408
Place Andre Honnorat;23364;488445
Place Andre Malraux;23353;488639
Place Andre Tardieu;23143;488513
Place Andre-Masson;23547;488276
Place Armand Carrel;23820;488826
Place Arnault Tzanck;23227;488988
Place Auguste Baron;23873;489001
Place Balard;22786;488366
Place Baudoyer;23554;488562
Place Beauvau;23163;488712
Place Bienvenue;23204;488426
Place Blanche;23322;488837
Place Boulnois;22959;488792
Place Cambronne;23015;488478
Place Charles Bernard;23429;488934
Place Charles de Gaulle;22946;488732
Place Charles Dullin;23422;488832
Place Charles Fillion;23169;488878
Place Charles Michels;22856;488467
Place Charles Vallin;23023;488356
Place Clemenceau;23145;488673
Place Coluche;23417;488264
Place Constantin Pecqueur;23379;488893
Place d'Aligre;23783;488488
Place d'Andorre;22747;488564
Place d'Estienne d'Orves;23315;488769
Place d'Iena;22938;488645
Place d'Italie;23553;488308
Place Dalida;23380;488885
Place Dauphine;23425;488565
Place de Bitche;23793;488890
Place de Bolivie;22835;488545
Place de Brazzaville;22859;488512
Place de Breteuil;23114;488475
Place de Budapest;23272;488774
Place de Catalogne;23186;488370
Place de Clichy;23271;488835
Place de Colombie;22680;488630
Place de Costa Rica;22846;488585
Place de Finlande;23116;488626
Place de Fontenoy;23061;488507
Place de Joinville;23800;488894
Place de l'Abbe Georges Henocque;23531;488236
Place de l'Abbe Jean Lebeuf;23187;488361
Place de l'Adjudant Vincenot;24083;488706
Place de l'Alma;23015;488640
Place de l'Amiral de Grasse;22953;488676
Place de l'Ecole;23418;488591
Place de l'Ecole Militaire;23058;488542
Place de l'Edit de Nantes;23785;488891
Place de l'Eglise d'Auteuil;22687;488471
Place de l'Eglise de l'Assomption;22662;488558
Place de l'Estrapade;23451;488451
Place de l'Europe;23231;488789
Place de l'Hotel de ville;23510;488567
Place de l'Ile de la Reunion;23991;488479
Place de l'Ile de Sein;23364;488341
Place de l'Institut;23368;488575
Place de l'Odeon;23384;488497
Place de l'Opera;23326;488702
Place de l'Uruguay;22957;488698
Place de la Bataille de Stalingrad;23695;488831
Place de la Chapelle;23594;488847
Place de la Concorde;23212;488656
Place de la Contrescarpe;23495;488444
Place de la Fontaine aux Lions;23928;488894
Place de la Fontaine Timbaud;23714;488661
Place de la Montagne du Goulet;22776;488443
Place de la Nation;23959;488483
Place de la Porte d'Auteuil;22580;488480
Place de la Porte de Champerret;22903;488858
Place de la Porte de Chatillon;23187;488242
Place de la Porte de Montreuil;24129;488542
Place de la Porte de Montreuil;24144;488544
Place de la Porte de Passy;22641;488575
Place de la Porte de Versailles;22871;488325
Place de la Porte Maillot;22828;488784
Place de la Porte Molitor;22568;488453
Place de la Reine Astrid;23032;488650
Place de la Republique;23638;488675
Place de la Resistance;23019;488622
Place de Moro-Giafferi;23217;488341
Place de Narvik;23127;488765
Place de Passy;22775;488578
Place de Port-au-Prince;23653;488188
Place de Rhin et Danube;23929;488820
Place de Rungis;23466;488222
Place de Seoul;23177;488362
Place de Thorigny;23621;488590
Place de Torcy;23603;488913
Place de Valois;23379;488632
Place de Varsovie;22917;488607
Place de Verdun;22802;488788
Place de Wagram;23048;488871
Place Denfert-Rochereau;23321;488336
Place Denys Cochin;23102;488538
Place des 2 Ecus;23416;488629
Place des Alpes;23584;488320
Place des Antilles;23987;488487
Place des Cinq Martyrs du Lycee Buffon;23174;488385
Place des Droits de l'Enfant;23323;488277
Place des Etats-Unis;22938;488678
Place des Grandes Rigoles;23899;488736
Place des Gres;24058;488590
Place des Insurges de Varsovie;22928;488274
Place des Invalides;23129;488584
Place des Martyrs de la Resistance de la Porte de Sevres;22768;488334
Place des Pyramides;23321;488639
Place des Ternes;22978;488782
Place des Victoires;23409;488658
Place des Vins de France;23874;488321
Place des Vosges;23655;488556
Place Diaghilev;23314;488731
Place Django Reinhardt;23436;489001
Place Docteur Navarre;23662;488278
Place du Caire;23487;488681
Place du Calvaire;23402;488862
Place du Canada;23103;488647
Place du Cardinal Amette;22968;488510
Place du Cardinal Lavigerie;24030;488328
Place du Carrousel;23344;488616
Place du Chancelier Adenauer;22792;488710
Place du Chateau Rouge;23498;488874
Place du Chatelet;23469;488575
Place du Colonel Bourgoin;23833;488447
Place du Colonel Fabien;23706;488780
Place du Commerce;22924;488450
Place du Comtat Venaissin;22912;488414
Place du Dr Felix Lobligeois;23180;488868
Place du Dr Paul Michaux;22551;488383
Place du Dr Yersin;23726;488203
Place du General Beuret;23029;488419
Place du General Catroux;23104;488830
Place du General Gouraud;23000;488577
Place du General Monclar;23092;488336
Place du General Patton;22870;488761
Place du General Stefanik;22557;488397
Place du General Tessier de Marguerittes;24102;488512
Place du Guatemala;23181;488763
Place du Guignier;23927;488715
Place du Havre;23266;488755
Place du Louvre;23407;488597
Place du Marche Saint-Honore;23313;488670
Place du Marche Sainte-Catherine;23626;488554
Place du Marechal de Lattre de Tassigny;22740;488716
Place du Marechal Juin;22972;488845
Place du Palais Bourbon;23182;488603
Place du Pantheon;23463;488467
Place du Pere Chaillet;23790;488568
Place du Perou;23151;488753
Place du Pont Neuf;23414;488570
Place du President Mithouard;23137;488505
Place du Puits de l'Ermite;23542;488423
Place du Quebec;23331;488534
Place du Tertre;23408;488865
Place du Trocadero et du 11 Novembre;22875;488626
Place Edith Piaf;24052;488648
Place Edmond Michelet;23503;488599
Place Edmond Rostand;23407;488474
Place Edouard Renard;24073;488350
Place el Salvador;23120;488507
Place Elisabeth Dmitrieff;23616;488666
Place Emile Landrin;23998;488641
Place Emile Male;23532;488449
Place Emmanuel Levinas;23479;488445
Place Ernest Denis;23374;488418
Place Etienne Pernet;22927;488431
Place Falguiere;23102;488362
Place Felix Eboue;23960;488395
Place Flora Tristan;23207;488323
Place Francis Poulenc;23862;488840
Place Gabriel Peri;23242;488752
Place Georges Berry;23285;488747
Place Georges Guillaumin;23024;488747
Place Georges Pompidou;23516;488606
Place Gilbert Privat;23296;488351
Place Ginette Hamelin;23825;488376
Place Goldoni;23486;488653
Place Hebert;23634;488932
Place Henri Bergson;23202;488761
Place Henri Frenay;23762;488451
Place Henri Langlois;23550;488309
Place Henri Matisse;23908;488661
Place Henri Queuille;23114;488452
Place Henri Rollet;22930;488360
Place Henri-Krasucki;23892;488728
Place Henry de Montherlant;23269;488602
Place Hubert Monmarche;22994;488414
Place Jacques Bainville;23225;488586
Place Jacques Bonsergent;23610;488711
Place Jacques Demy;23270;488318
Place Jacques Marette;23006;488328
Place Jacques Rouche;23325;488716
Place Jacques Rueff;22981;488559
Place Jean Delay;23543;488231
Place Jean Laupretre;23871;488467
Place Jean Lorrain;22647;488481
Place Jean Pronteau;23214;488342
Place Jean Rostand;23765;488728
Place Jean-Baptiste Clement;23389;488867
Place Jeanne d'Arc;23680;488296
Place Joachim du Bellay;23475;488607
Place Joffre;23031;488526
Place Jose Marti;22849;488618
Place Josephine Baker;23234;488414
Place Jules Henaffe;23313;488238
Place Jules Joffrin;23446;488924
Place Jules Renard;22892;488845
Place Jules Senard;24067;488779
Place Jussieu;23551;488460
Place Kossuth;23401;488760
Place Leon Blum;23799;488580
Place Leonard Bernstein;23815;488373
Place Lili-Boulanger;23288;488821
Place Lino Ventura;23404;488805
Place Louis Aragon;23531;488535
Place Louis Armand;23728;488448
Place Louis Armstrong;23601;488359
Place Louis Lepine;23474;488551
Place Louis Marin;23392;488438
Place Lucien Herr;23478;488418
Place Madeleine Renaud et Jean-louis Barrault;23145;488383
Place Marc Bloch;24018;488543
Place Marcel Cerdan;22925;488509
Place Marcel Paul;23193;488339
Place Marcelin Berthelot;23456;488491
Place Marguerite de Navarre;23462;488607
Place Marlene Dietrich;22926;488656
Place Martin Nadaud;23944;488650
Place Maubert;23488;488501
Place Maurice Audin;23513;488479
Place Maurice Barres;23257;488674
Place Maurice de Fontenay;23885;488450
Place Maurice Quentin;23451;488614
Place Mazas;23660;488466
Place Michel Debre;23300;488522
Place Mohamed Bouazizi;23380;488248
Place Monge;23520;488431
Place Napoleon III;23537;488802
Place nationale;23653;488289
Place Nattier;23330;488901
Place Octave Chanute;24061;488663
Place Pasdeloup;23669;488632
Place Paul Beauregard;22703;488483
Place Paul Delouvrier;23850;488919
Place Paul Painleve;23436;488499
Place Paul Signac;24011;488680
Place Paul Verlaine;23519;488276
Place Pierre Brisson;22993;488664
Place Pierre Mac Orlan;23623;488953
Place Pigalle;23372;488820
Place Possoz;22770;488593
Place Prosper Goubaux;23158;488814
Place Raoul Dautry;23205;488417
Place Raoul Follereau;23635;488766
Place Renee Vivien;23571;488617
Place Richard Baret;23217;488842
Place Richard de Coudenhove-Kalergi;22954;488704
Place Rio de Janeiro;23102;488775
Place Robert Desnos;23683;488780
Place Rutebeuf;23782;488443
Place Saint-Andre des Arts;23429;488530
Place Saint-Augustin;23198;488750
Place Saint-Blaise;24039;488601
Place Saint-Fargeau;24039;488715
Place Saint-Ferdinand;22882;488778
Place Saint-Germain des Pres;23335;488542
Place Saint-Gervais;23540;488556
Place Saint-Jacques;23363;488335
Place Saint-Jean;23249;488889
Place Saint-Michel;23437;488534
Place Saint-Pierre;23437;488843
Place Saint-Sulpice;23336;488512
Place Sainte-Opportune;23470;488596
Place Skanderbeg;23717;489010
Place Souham;23675;488288
Place St Georges;23376;488784
Place St Thomas d'Aquin;23274;488560
Place Stuart Merrill;22923;488858
Place Sully Lombard;24083;488650
Place Suzanne Valadon;23424;488844
Place Tattegrain;22721;488641
Place Tristan Bernard;22913;488793
Place Valhubert;23639;488441
Place Vendome;23294;488674
Place Venetie;23643;488213
Place Victor Et Helene Basch;23270;488278
Place Victor Hugo;22850;488697
Place Violet;22904;488446
Pont Alexandre III;23135;488638
Pont au Change;23467;488566
Pont au Double;23484;488525
Pont Charles de Gaulle;23691;488426
Pont d'Arcole;23505;488554
Pont d'Austerlitz;23663;488451
Pont de Bercy;23749;488379
Pont de Bir-Hakeim;22871;488562
Pont de Grenelle;22802;488501
Pont de l'Alma;23018;488633
Pont de l'Archeveche;23515;488515
Pont de la Concorde;23194;488632
Pont de Sully;23589;488500
Pont de Suresnes;22298;488667
Pont de Tolbiac;23817;488333
Pont des Arts;23375;488583
Pont des Invalides;23103;488636
Pont du Carrousel;23329;488593
Pont du Garigliano;22705;488390
Pont Marie;23573;488527
Pont Mirabeau;22763;488463
Pont National;23871;488279
Pont Neuf;23413;488570
Pont Neuf;23415;488572
Pont Notre Dame;23488;488564
Pont Royal;23300;488602
Pont Saint-Louis;23527;488527
Pont Saint-Michel;23446;488540
Port d'Austerlitz;23709;488399
Port de Bercy;23838;488318
Port de Grenelle;22845;488520
Port de Javel Haut;22794;488483
Port de la Bourdonnais;22954;488606
Port de la Concorde;23188;488643
Port de la Conference;23054;488641
Port de la Gare;23771;488348
Port de la Rapee;23725;488414
Port de la Tournelle;23560;488498
Port de Suffren;22901;488575
Port de Tolbiac;23820;488307
Port des Champs-Elysees;23144;488644
Port des Saints-Peres;23337;488585
Porte de Bagnolet;24070;488645
Porte de Charenton;24004;488327
Porte de Clichy;23136;488943
Porte de Pantin;23913;488882
Porte de Vanves;23059;488275
Porte de Vincennes;24144;488464
Porte Doree;24067;488354
Porte Lescot;23479;488615
Porte Saint-Martin;23556;488691
Portiques d'Orleans;23294;488321
Prom. d'Australie;22895;488564
Quai Anatole France;23243;488610
Quai Andre Citroen;22762;488454
Quai aux Fleurs;23518;488539
Quai Branly;22940;488593
Quai d'Anjou;23586;488519
Quai d'Austerlitz;23694;488408
Quai d'Issy-les-Moulineaux;22682;488373
Quai d'Ivry;23869;488262
Quai d'Orleans;23539;488518
Quai d'Orsay;23108;488624
Quai de Bercy;23813;488342
Quai de Bourbon;23551;488530
Quai de Conti;23386;488571
Quai de Gesvres;23489;488567
Quai de Jemmapes;23647;488761
Quai de l'Archeveche;23519;488522
Quai de l'Horloge;23437;488569
Quai de l'Hotel de ville;23518;488565
Quai de l'Oise;23826;488902
Quai de la Charente;23844;488958
Quai de la Corse;23483;488556
Quai de la Gare;23730;488372
Quai de la Gironde;23833;488962
Quai de la Loire;23748;488853
Quai de la Marne;23835;488901
Quai de la Megisserie;23443;488579
Quai de la Rapee;23658;488465
Quai de la Seine;23745;488866
Quai de la Tournelle;23535;488504
Quai de Metz;23866;488910
Quai de Montebello;23484;488522
Quai de Valmy;23641;488763
Quai des Celestins;23604;488523
Quai des Grands Augustins;23421;488548
Quai des Tuileries;23300;488609
Quai du Marche Neuf;23453;488541
Quai Francois Mauriac;23775;488338
Quai Francois Mitterrand;23345;488598
Quai Henri IV;23629;488485
Quai Louis Bleriot;22726;488452
Quai Malaquais;23344;488581
Quai Saint-Bernard;23602;488473
Quai Saint-Exupery;22637;488363
Quai Saint-Michel;23456;488534
Quai Voltaire;23320;488586
Quatre-Septembre;23358;488696
Rond-Point des Champs-Elysees Marcel-Dassault;23092;488692
Rond-Point du Pont Mirabeau;22772;488457
Route Aimable;24243;488278
Route Bosquet Mortemart;24579;488285
Route Brulee;24266;488355
Route Circulaire;24584;488388
Route d'Auteuil A Suresnes;22437;488565
Route d'Auteuil aux Lacs;22541;488521
Route Dauphine;24392;488309
Route de Bourbon;24438;488280
Route de Ceinture du Lac Daumesnil;24156;488322
Route de l'Asile national;24231;488300
Route de l'Epine;24229;488371
Route de l'Esplanade;24305;488403
Route de l'Etoile;22653;488736
Route de la Brasserie;24215;488270
Route de la Cascade;24615;488344
Route de la Croix Rouge;24062;488321
Route de la Dame Blanche;24413;488451
Route de la Demi Lune;24395;488238
Route de la Faluere;24418;488323
Route de la Ferme;24572;488235
Route de la Gerbe;24502;488190
Route de la Grande Cascade;22490;488634
Route de la Longue Queue;22486;488688
Route de la Menagerie;24662;488356
Route de la Pompadour;24286;488263
Route de la Porte Dauphine a la Porte des Sablons;22714;488742
Route de la Porte Jaune;24563;488411
Route de la Porte Noire;24571;488335
Route de la Porte Saint-James;22598;488765
Route de la Pyramide;24502;488302
Route de la Seine A la Butte Mortemart;22399;488526
Route de la Terrasse;24352;488197
Route de la Tourelle;24301;488287
Route de Reuilly;24041;488299
Route de Sevres A Neuilly;22394;488634
Route de Suresnes;22535;488663
Route des Barrieres;24496;488183
Route des Batteries;24240;488295
Route des Bosquets;24606;488367
Route des Chenes;24627;488368
Route des Dames;24536;488393
Route des Fortifications;24017;488311
Route des Lacs;22709;488725
Route des Lacs A Bagatelle;22505;488681
Route des Lacs a Passy;22609;488583
Route des Merisiers;24606;488320
Route des Pelouses;24626;488395
Route des Pelouses Marigny;24423;488451
Route des Pins;22635;488607
Route des Sabotiers;24470;488420
Route des Tribunes;22293;488592
Route du Bac;24137;488270
Route du Champ d'Entrainement;22501;488743
Route du Champ de Manoeuvres;24507;488350
Route du Donjon;24469;488442
Route du Fort de Gravelle;24534;488205
Route du Grand Marechal;24577;488408
Route du Grand Prieur;24559;488361
Route du Lac de Saint-Mande;24245;488383
Route du Moulin Rouge;24356;488209
Route du Parc;24209;488251
Route du Pesage;24460;488226
Route du Point de Vue;24474;488195
Route du Point du Jour a Bagatelle;22476;488528
Route du Ruisseau;24328;488227
Route Lemoine;24218;488393
Route Nouvelle;24394;488201
Route Odette;24650;488386
Route Royale de Beaute;24417;488343
Route Sablonneuse;22668;488707
Route Saint-Hubert;24468;488274
Route Saint-Louis;24267;488287
Rue Abel;23752;488471
Rue Abel Ferry;22608;488361
Rue Abel Gance;23737;488356
Rue Abel Hovelacque;23527;488319
Rue Abel Rabaud;23718;488694
Rue Abel Truchet;23240;488833
Rue Achille;23987;488624
Rue Adolphe Adam;23484;488572
Rue Adolphe Focillon;23289;488266
Rue Adolphe Jullien;23420;488629
Rue Adolphe Mille;23885;488889
Rue Adolphe Yvon;22707;488642
Rue Affre;23556;488861
Rue Agar;22738;488513
Rue Agrippa d'Aubigne;23621;488500
Rue Aime Morot;23497;488201
Rue Alain;23162;488368
Rue Alain Chartier;22958;488379
Rue Alasseur;22981;488511
Rue Alberic Magnard;22717;488603
Rue Albert;23719;488256
Rue Albert Bayet;23589;488304
Rue Albert Einstein;23819;488267
Rue Albert Malet;24107;488415
Rue Albert Marquet;24050;488577
Rue Albert Sorel;23222;488234
Rue Albert Thomas;23624;488700
Rue Albert Willemetz;24155;488483
Rue Albin Haller;23490;488225
Rue Albinoni;23888;488425
Rue Alexander Fleming;24040;488812
Rue Alexandre Cabanel;23024;488485
Rue Alexandre Charpentier;22876;488843
Rue Alexandre Dumas;23949;488540
Rue Alexandre Parodi;23655;488798
Rue Alfred de Vigny;23051;488789
Rue Alfred Durand-Claye;23071;488292
Rue Alfred Fouillee;23643;488192
Rue Alfred Stevens;23393;488816
Rue Alice Domon et Leonie Duquet;23817;488279
Rue Alphand;23485;488281
Rue Alphonse Aulard;23996;488805
Rue Alphonse Baudin;23704;488606
Rue Alphonse Bertillon;23109;488345
Rue Alphonse Daudet;23276;488265
Rue Alphonse de Neuville;23023;488860
Rue Alphonse Karr;23803;488950
Rue Alphonse Penaud;24067;488683
Rue Ambroise Pare;23527;488819
Rue Ambroise Thomas;23473;488744
Rue Amelie;23073;488596
Rue Amelot;23679;488604
Rue Ampere;23028;488852
Rue Amyot;23474;488434
Rue Anatole de la Forge;22913;488752
Rue Andre Antoine;23377;488834
Rue Andre Barsacq;23412;488851
Rue Andre Brechet;23264;488989
Rue Andre Colledeboeuf;22696;488517
Rue Andre Danjon;23845;488852
Rue Andre del Sarte;23464;488857
Rue Andre Derain;24070;488398
Rue Andre Dubois;23815;488833
Rue Andre Gide;23129;488370
Rue Andre Gill;23400;488828
Rue Andre Lefebvre;22781;488429
Rue Andre Mazet;23391;488538
Rue Andre Messager;23423;488951
Rue Andre Pascal;22698;488612
Rue Andrieux;23189;488812
Rue Androuet;23385;488858
Rue Angelique Compoint;23350;488974
Rue Antoine Arnauld;22722;488559
Rue Antoine Dubois;23399;488512
Rue Antoine Vollon;23768;488504
Rue Antoine-Julien Henard;23896;488422
Rue Antonin Mercie;23003;488281
Rue Archereau;23744;488916
Rue Aristide Briand;23193;488615
Rue Aristide Bruant;23352;488853
Rue Aristide Maillol;23117;488377
Rue Armand Carrel;23766;488827
Rue Armand Moisant;23175;488423
Rue Arsene Houssaye;22988;488741
Rue Arthur Briere;23271;488952
Rue Arthur Groussier;23706;488719
Rue Arthur Ranc;23338;488983
Rue Arthur Rozier;23908;488782
Rue Asseline;23225;488350
Rue au Maire;23561;488646
Rue Auboin;23177;488997
Rue Aubriot;23569;488584
Rue Audran;23357;488848
Rue Audubon;23695;488460
Rue Auger;23993;488511
Rue Augereau;23020;488573
Rue Auguste Barbier;23712;488688
Rue Auguste Bartholdi;22949;488510
Rue Auguste Cain;23206;488259
Rue Auguste Chabrieres;22890;488351
Rue Auguste Chapuis;24113;488559
Rue Auguste Dorchain;22980;488449
Rue Auguste Lancon;23447;488232
Rue Auguste Laurent;23821;488573
Rue Auguste Maquet;22660;488395
Rue Auguste Mie;23234;488369
Rue Auguste Perret;23592;488247
Rue Auguste Vacquerie;22952;488703
Rue Auguste Vitu;22786;488454
Rue Augustin Mouchot;23500;488216
Rue Aumont;23613;488259
Rue Azais;23418;488860
Rue Bachaumont;23460;488659
Rue Baillet;23430;488597
Rue Bailleul;23414;488610
Rue Baillou;23206;488291
Rue Bailly;23562;488650
Rue Balard;22778;488413
Rue Ballu;23296;488819
Rue Balny d'Avricourt;22970;488829
Rue Baltard;23462;488623
Rue Baptiste Renard;23666;488279
Rue Barbanegre;23838;488928
Rue Barbet de Jouy;23174;488532
Rue Barbette;23606;488588
Rue Bardinet;23168;488306
Rue Bargue;23079;488385
Rue Baron;23231;488950
Rue Barrault;23465;488260
Rue Barrelet de Ricou;23780;488772
Rue Barthelemy;23104;488460
Rue Basfroi;23791;488551
Rue Basse des Carmes;23485;488492
Rue Bassompierre;23668;488509
Rue Bastien Lepage;22660;488485
Rue Baudelique;23474;488928
Rue Baudoin;23689;488321
Rue Baudricourt;23634;488262
Rue Baulant;23867;488409
Rue Bausset;22987;488394
Rue Bayard;23078;488663
Rue Beaubourg;23542;488627
Rue Beaugrenelle;22844;488480
Rue Beaunier;23283;488244
Rue Beauregard;23497;488692
Rue Beaurepaire;23637;488702
Rue Beautreillis;23637;488530
Rue Beccaria;23789;488475
Rue Becquerel;23437;488888
Rue Beethoven;22872;488584
Rue Belhomme;23485;488842
Rue Belidor;22858;488802
Rue Bellart;23084;488470
Rue Belliard;23403;488970
Rue Bellini;22826;488609
Rue Bellot;23674;488860
Rue Benard;23224;488315
Rue Benjamin Constant;23820;488955
Rue Benjamin Franklin;22859;488604
Rue Benjamin Godard;22755;488662
Rue Benouville;22777;488689
Rue Beranger;23638;488658
Rue Berbier du Mets;23511;488346
Rue Berger;23453;488615
Rue Berger;23430;488620
Rue Bergere;23455;488723
Rue Bernard de Clairvaux;23524;488623
Rue Bernard Dimey;23310;488970
Rue Bernard Lecache;24150;488457
Rue Berthe;23385;488859
Rue Berthollet;23457;488388
Rue Berton;22805;488549
Rue Bervic;23489;488840
Rue Berzelius;23188;488931
Rue Bessieres;23159;488948
