description,url,localisation,prix,agence,titre,infos
"metro vanneau ou sevres babylone, dans un tres bel immeuble pierres de taille, au rez-de-chaussee sur rue, une boutique avec arriere boutique et une piece complementaire avec le droit aux wc dans la cour a usage privatif. cession de bail. loyer 1550.50euros / mois. renouvellement de bail accorde pour le 12/01/16..",http://www.explorimmo.com/annonce-5169114.html,paris 7eme,75000,agence perspectives,vente maison 3 pieces 39 m2,"nombre de pieces : 3, surface : 39 m2, nombre de chambres : 2, energie : nc, ges : nc"
"monceau - saint-augustin. maison d'architecte orientee sud-est, facade bois, 170 m2 en r+2 : petit jardin, toit terrasse, entree, salon lumineux, 5 chambres, 1 salle de bains et de 3 salles d'eau, 2 parkings, cave. disponibilite fin 2013, frais de notaire reduits.",http://www.explorimmo.com/annonce-328546.html,paris 8eme,PrixNC,cbre gps,vente maison,"nombre de pieces : non precise, surface : nc, energie : nc, ges : nc"
"paris 8eme: parc monceaumaison de charme de 160m2 proche du parc monceau, r+2 comprenant un grand salon, une salle a manger, cuisine equipee- buanderie, 3 chambres + un bureau (ou chambre), salle de bains et salle d'eau.cave de 22m2.01.42.85.05.06pierre zenatti 06.07.02.94.70",http://www.explorimmo.com/annonce-4268862.html,paris 8eme,1770000,agence zenatti immobilier,vente maison 6 pieces 161 m2,"nombre de pieces : 6, surface : 161 m2, nombre de chambres : 4, nombre de salles de bain : 2, cave : oui, salle de bain : oui, energie : nc, ges : nc"
"entre le parc monceau et saint augustin, maison d'architecte en materiaux naturels exposee sud et sud-est, avec terrasse et jardin, au calme. facade en bardage bois (red cedar). rez-de-chaussee: entree, vaste sejour (40 m2) sur jardin (24 m2) avec cuisine ouverte, toilettes invites, buanderie, placards. 1er etage: 3 chambres, 2 salles de bains, wc. 2e etage: chambre parents avec dressing et salle de bains, 5e chambre, wc independant. 3e etage: toit-terrasse de 60 m2. sous-sol: grand garage pour 2",http://www.explorimmo.com/annonce-157924.html,"paris 8eme,",2970000,property,vente maison 7 pieces 204 m2,"nombre de pieces : 7, surface : 204 m2, nombre de chambres : 6, jardin : oui, parking : oui, terrasse : oui, energie : nc, ges : nc"
"monceau - saint-augustin. maison d'architecte orientee sud est, facade bois, 170 m2 en r+2 : petit jardin, toit terrasse 60 m2, entree, salon lumineux, 5 chambres, salle de bains et de 3 salles d'eau, 2 parkings boxes, cave. disponibilite fin 2013, frais de notaire reduits.",http://www.explorimmo.com/annonce-328550.html,paris 8eme,PrixNC,cbre gps,vente maison,"nombre de pieces : non precise, surface : nc, energie : nc, ges : nc"
"localisation privilegie. au calme d'une cour privee d'un tres bel immeuble ancien, superbe maison a l'abri des regards. donnant entierement sur un agreable jardin verdoyant. actuellement en occupation professionnelle mais toujours a usage d'habitation, cette maison pourra aisement proposer: entree, belle reception, cuisine dinatoire, 4 ou 5 chambres, 2 ou 3 salles de bains. (adduction et evacuation d'eau deja existante). sous sol a amenager. taxe fonciere: 3384 charges:470 /mois",http://www.explorimmo.com/annonce-5851346.html,paris 8eme,3000000,breteuil immobilier,vente maison 225 m2,"nombre de pieces : non precise, surface : 225 m2, energie : e (257), ges : e (41)"
"rue de miromesnil, entre cour et jardin, une maison du xviiieme siecle de 420 m2 sur trois niveaux, entierement renovee, ouvrant sur une terrasse de 70 m2 et un jardin privatif de 150 m2, au calme absolu. rez-de-chaussee : entree grand salon ouvrant sur une terrasse de plain-pied de 70 m2 salle a manger cuisine conviviale rez-de-jardin : salle de sport salle de jeux double cave a vin buanderie chaufferie 1er etage : salon 3 chambres salle de bains",http://www.explorimmo.com/annonce-5782836.html,paris 8eme,8400000,philippe menager & nicolas hug,vente maison 11 pieces 420 m2,"nombre de pieces : 11, surface : 420 m2, nombre de chambres : 6, nombre de salles de bain : 2, exposition : non precise, cheminee : oui, salle d'eau : oui, salle de bain : oui, terrasse : oui, energie : nc, ges : nc"
"rare, a l'abri des regards, nichee au fond d'une cour, cette lumineuse maison ultra moderne batie en r+2+souplex a ete concue avec des materiaux d'exception. elle offre espace de vie avec cuisine us equipee haut de gamme, 3 chambres, bureau. au sous-sol, grande piece et buanderie. climatisation reversible. la creation d'une terrasse vegetalisee d'environ 35 m2 est autorisee. parkings possibles.",http://www.explorimmo.com/annonce-6468430.html,"paris 10eme,",1350000,terrasses et jardins,vente maison 6 pieces 140 m2,"nombre de pieces : 6, surface : 140 m2, nombre de chambres : 3, nombre de salles de bain : 1, terrain : 55 m2, salle d'eau : oui, salle de bain : oui, terrasse : oui, energie : b, ges : b"
"paris 11eme a proximite du metro charonne, dans une joile cour pavee interieure, maison de ville de 212 m2 sur 2 niveaux offrant au rdc une surface de 90 m2 compose d'une belle reception avec cheminee, une cuisine dinatoire entierement amenagee et equipee, un bureau, un wc, au 1er etage : 3 chambres, salle de bains, salle d'eau, au sous sol une belle piece a exploiter, dependance formant un veritable studio avec piece a vivre, salle d'eau et wc, un veritable havre de paix en plein coeur de paris,",http://www.explorimmo.com/annonce-3110146.html,"paris 11eme,",1410000,samcoger sarl,vente maison 6 pieces 212 m2,"nombre de pieces : 6, surface : 212 m2, nombre de chambres : 4, nombre de salles de bain : 2, type de chauffage : gaz, energie : nc, ges : nc"
"dans un ecrin de verdure, maison en triplex de 105m2 habitables (100m2 carrez) avec jardin/terrasse privatif de 20m2. dans le calme d'une petite allee, on accede au lieu depuis le jardin/terrasse. la maison presente une tres bonne distribution. la grande piece de vie avec cuisine amenagee de 50m2 ouvre sur le l'espace exterieur de plain-pied au travers de grandes baies vitrees. au premier etage, deux chambres, salle de bain/douche et toilettes separees. au dernier etage, une belle chambre principale",http://www.explorimmo.com/annonce-4360886.html,paris 11eme,990000,espaces atypiques,vente maison 5 pieces 105 m2,"nombre de pieces : 5, surface : 105 m2, nombre de chambres : 3, nombre de salles de bain : 1, cave : oui, interphone : oui, parking : oui, salle d'eau : oui, salle de bain : oui, terrasse : oui, energie : d (218), ges : e (51)"
