description,url,localisation,prix,agence,titre,infos
"Paris 7eme : Avenue Bosquet, proximite gros cailloux. Exclusivite : Bel Immeuble Haussmannien, Au 1er etage au calme sur deux grandes cours, appartement en bon etat d'une surface de 60m2 compose comme suis: Double sejour, cuisine separee (possibilite de cuisine ouverte) Chambre, salle de bains, wc separes, nombreux rangements, Parquet moulures et cheminees. nous contacter pour plus d'informations.",http://www.explorimmo.com/annonce-32599203-1.html,"Paris 7eme,",695000,Mc Immo,Vente appartement 3 pieces 60 m2,"Nombre de pieces : 3, Surface : 60 m2, Nombre de chambres : 1, Nombre de salles de bain : 1, Type de chauffage : habitat individuel, Statut : libre, Anciennete : ancien, Etage : 1er etage, Exposition : double, Renove : oui, Energie : NC, GES : NC"
"PARIS 7eme a proximite immediate de la rue Cler et de la rue Saint-Dominique dans une rue calme et residentielle du quartier Gros Caillou d'un immeuble recent dont les parties communes seront entierement renovees, prestations de grand standing, nous vous proposons ce plateau de 56,40 m2 a amenager sur mesure (travaux hors cuisine a rajouter en plus du prix de vente pour environ 1450 euros TTC par m2) ouvrant sur un balcon loggia de 12 m2 avec vue sur L'EGLISE DU GROS CAILLOU, revisite par architecte",http://www.explorimmo.com/annonce-5321662.html,"Paris 7eme,",760000,Emporio Estate Group - Haussmann Prestige,Vente appartement 2 pieces 56 m2,"Nombre de pieces : 2, Surface : 56 m2, Nombre de chambres : 1, Nombre de salles de bain : 1, Etage : 2, Balcon : oui, Interphone : oui, Salle d'eau : oui, Salle de bain : oui, Terrasse : oui, Energie : NC, GES : NC"
"Dans bel immeuble du XVIIIeme siecle avec gardienne, au 6eme et dernier etage. Studio de 22,60m2 au sol (11,20m2 loi carrez), comprenant: sejour de 15m2 avec fenetre et velux, cuisine independante amenagee, et salle d'eau avec water-closet (sanibroyeur) avec fenetre. Studio de charme, en tres bon etat, possedant un beau volume, fonctionnel, clair et calme.. Copropriete de 31 lots Charges annuelles : 515 euros",http://www.explorimmo.com/annonce-5577448.html,Paris 7eme,230000,Orpi Bac Saint Germain,"Vente studio 22,6 m2","Nombre de pieces : 1, Surface : 22,6 m2, Energie : F (365), GES : C (11)"
"7/8 pieces de 223 m2 avec balcon + 3 Services (avec ascenseur) de 24 m2 au total + cave + debarras. Situe rue de l'Universite ( pres rue Jean Nicot ), dans un immeuble ancien de 1930 Art-Deco, avec digicode, interphone et gardien. Jolies parties communes. 2eme etage ascenseur. Galerie d'entree, double sejour, salon, 4 ou 5 chambres, 3 salles de bains, cuisine + office, 2 WC. Eaux et chauffage collectifs. Nombreux rangements. Parquet, cheminees. Tres clair, calme, beaux volumes. A RENOVER. 3 Chambres",http://www.explorimmo.com/annonce-5581644.html,"Paris 7eme,",2495000,Eiffel Rive Gauche,Vente appartement 7 pieces 223 m2,"Nombre de pieces : 7, Surface : 223 m2 (loi carrez), Nombre de chambres : 6, Type de chauffage : Habitat collectif, Etage : 2, Energie : NC, GES : NC"
"6 Pieces 7e Alma 2 620 000 . Au rez-de-chaussee d'un bel immeuble 1930 de standing, grand appartement d'angle avec 2 acces dont un privatif sur rue. Sa surface habitable est de 296,95 m2 + une chambre de 9,15 m2 (Carrez : 292,25 m2). Il est compose d'un hall d'entree desservant les 2 acces, 6 pieces dont une reception de 50 m2 avec 3 larges fenetres, une salle de bains, 3 sanitaires. Une chambre de service et une cave completent ce bien qui necessite des travaux de renovation. Possibilite d'exercer",http://www.explorimmo.com/annonce-5607934.html,Paris 7eme,2620000,Grenelle Immobilier,"Vente appartement 6 pieces 296,95 m2","Nombre de pieces : 6, Surface : 296,95 m2, Nombre de chambres : 5, Nombre de salles de bain : 1, Statut : libre, Etage : Rez-de-chaussee, Cave : oui, Salle de bain : oui, Sous-sol : oui, Energie : D (202), GES : D (29)"
"TOUR EIFFEL- CHAMPS DE MARS, ADRESSE PRESTIGIEUSE. Au sein d'un immeuble de grand standing, en pierre de taille edifie en 1925, securise avec gardien. Appartement situe en rez de chaussee de 6 pieces, 4 chambres, entierement renove par architecte. Il distribue une large entree ouverte sur le sejour / salle a manger traversants (orientation principale sud/ouest), cuisine semi-ouverte amenagee et equipee. L'espace nuit separe compte une suite parentale avec dressings et salle de bains, 3 chambres spacieuses",http://www.explorimmo.com/annonce-3829880.html,"Paris 7eme,",1880000,I-ti,Vente appartement 6 pieces 200 m2,"Nombre de pieces : 6, Surface : 200 m2, Nombre de chambres : 4, Nombre de salles de bain : 2, Etage : Rez-de-chaussee, Ascenseur : oui, Cave : oui, Digicode : oui, Interphone : oui, Salle d'eau : oui, Salle de bain : oui, Energie : D (210), GES : D (31)"
"PARIS 7eme-a 100m du Dome des INVALIDES.Construction 2001/facade PDT. DUPLEX 330m2 avec jardin et terrasse. Double reception+Salle a manger, 5 Chambres, 4 Bains, cuisine equipee, buanderie, rangts. Cave. 4 parkings.Prestations haut de gamme. DPE D.",http://www.explorimmo.com/annonce-4605626.html,"Paris 7eme,",7200000,Katz Immobilier,Vente duplex 7 pieces 330 m2,"Nombre de pieces : 7, Surface : 330 m2, Nombre de chambres : 5, Nombre de salles de bain : 1, Type de chauffage : Chauffage electrique, Etage : Rez-de-chaussee, Ascenseur : oui, Cave : oui, Interphone : oui, Jardin : oui, Parking : oui, Salle d'eau : oui, Salle de bain : oui, Terrasse : oui, Energie : D (208), GES : C (13)"
"Proche du Champs de Mars.Appartement 6 pieces 196m2. 4 chambre au RDC traversant.Parquet Moulure cheminee, cuisine equipee separee. nombreux rangementspossibilite profession liberale",http://www.explorimmo.com/annonce-5196308.html,"Paris 7eme,",1980000,N Et B Intermediaire,Vente appartement 6 pieces 196 m2,"Nombre de pieces : 6, Surface : 196 m2, Nombre de chambres : 4, Nombre de salles de bain : 1, Etage : Rez-de-chaussee, Ascenseur : oui, Cave : oui, Digicode : oui, Interphone : oui, Salle d'eau : oui, Salle de bain : oui, Energie : NC, GES : NC"
"PARIS 7e - Appartement de 62 m2 au 4eme etage d'un immeuble de grand standing ravale, les parties communes seront completement renovees. L'isolation refaite pour respecter les normes BBC (batiment basse consommation). Cet appartement de 2/3 pieces vendu en plateau brut se compose d'une entree, d'un WC, d'une buanderie, d'un grand sejour - salle a manger et d'une cuisine separee ouvrant sur un balcon loggia de 12 m2. Une autre option : deux chambres, chacune avec sa salle de bain, un WC, sejour-salle",http://www.explorimmo.com/annonce-1514828.html,"Paris 7eme,",1060000,Odgamm Prime Realty,Vente appartement 3 pieces 62 m2,"Nombre de pieces : 3, Surface : 62 m2, Nombre de chambres : 2, Nombre de salles de bain : 1, Etage : 4, Ascenseur : oui, Balcon : oui, Digicode : oui, Interphone : oui, Salle d'eau : oui, Salle de bain : oui, Energie : NC, GES : NC"
"PARIS VII eme - CHAMPS DE MARS - APPARTEMENT - 113 m2 - 3 CHAMBRES Dans un bel immeuble Haussmannien de standing, appartement 5 pieces, 113 m2. Entree, double sejour avec cuisine americaine, 3 chambres, une salle d'eau, une salle de bains. Parquets, moulures, cheminees. Une chambre de service amenagee d'environ 7.5m2. Cave.STANDING - CALME - TOUR EIFFEL - Contact : Antoine BENARIAC / 06 84 53 93 07",http://www.explorimmo.com/annonce-5434556.html,"Paris 7eme,",1870000,Credit Foncier Immobilier,Vente appartement 5 pieces 113 m2,"Nombre de pieces : 5, Surface : 113 m2, Nombre de chambres : 3, Nombre de salles de bain : 1, Ascenseur : oui, Cave : oui, Salle d'eau : oui, Salle de bain : oui, Energie : NC, GES : NC"
"ST clotilde ,rue de bourgogne 5 m et dernier etage ascenceur ,110mc cormercialite,tres beaux bureau vue sur st clotide;traversant est ouest",http://www.explorimmo.com/annonce-899106.html,Paris 7eme,1390000,Consultants Immobilier,Vente divers,"Nombre de pieces : Non precise, Surface : NC, Energie : NC, GES : NC"
"PARIS 7eme - Proche tour Eiffel, Imax vous propose un petit local en fond de cour d'une belle copropriete. Sans eau ni electricite. Ideal adresse postale ou stockage.Faibles charges. V1495 - www.imax.fr",http://www.explorimmo.com/annonce-2701104.html,Paris 7eme,42000,Imax Agence Paris Brochant,"Vente divers 4,5 m2","Nombre de pieces : Non precise, Surface : 4,5 m2, Energie : NC, GES : NC"
"PARIS 7e -Appartement duplex de 100 m2 au 1er et 2eme etages d'un immeuble de grand standing ravale, les parties communes seront completement renovees. L'isolation refaite pour respecter les normes BBC (batiment basse consommation). Cet appartement de 4 pieces se compose d'une entree, de 2 chambres avec dependences et large balcon, de 12m2 d'un WC, d'une buanderie, d'un grand sejour - salle a manger et d'une cuisine americaine attenante ouvrant sur un large balcon loggia de 12 m2.Parking possible",http://www.explorimmo.com/annonce-5298584.html,Paris 7eme,1560000,Odgamm Prime Realty,Vente appartement 4 pieces 100 m2,"Nombre de pieces : 4, Surface : 100 m2, Nombre de chambres : 2, Nombre de salles de bain : 1, Etage : 2, Ascenseur : oui, Balcon : oui, Cave : oui, Digicode : oui, Interphone : oui, Salle d'eau : oui, Salle de bain : oui, Energie : NC, GES : NC"
"PARIS 7e -Appartement duplex de 90 m2 au 1er et 2eme etages d'un immeuble de grand standing ravale, les parties communes seront completement renovees. L'isolation refaite pour respecter les normes BBC (batiment basse consommation). Cet appartement de 4 pieces se compose d'une entree, de 2 chambres avec dependences et large balcon, de 12m2 d'un WC, d'une buanderie, d'un grand sejour - salle a manger et d'une cuisine americaine attenante ouvrant sur un large balcon loggia de 12 m2.Parking possible",http://www.explorimmo.com/annonce-5298616.html,Paris 7eme,1410000,Odgamm Prime Realty,Vente appartement 5 pieces 90 m2,"Nombre de pieces : 5, Surface : 90 m2, Nombre de chambres : 2, Nombre de salles de bain : 1, Etage : 2, Ascenseur : oui, Balcon : oui, Cave : oui, Digicode : oui, Interphone : oui, Parking : oui, Salle d'eau : oui, Salle de bain : oui, Energie : NC, GES : NC"
"PARIS 7e -Appartement de 56 m2 au 2er etage d'un immeuble de grand standing ravale, les parties communes seront completement renovees. L'isolation refaite pour respecter les normes BBC (batiment basse consommation). Cet appartement de 2 pieces se compose d'une entree, d'une chambre, d'un WC, d'une buanderie, d'un grand sejour - salle a manger et d'une cuisine americaine attenante ouvrant sur un large balcon loggia de 12 m2.Les appartements seront refaits a neuf (avec des materiaux de haute qualite",http://www.explorimmo.com/annonce-1514826.html,"Paris 7eme,",870000,Odgamm Prime Realty,Vente appartement 2 pieces 60 m2,"Nombre de pieces : 2, Surface : 60 m2, Nombre de chambres : 1, Nombre de salles de bain : 1, Ascenseur : oui, Balcon : oui, Digicode : oui, Interphone : oui, Salle de bain : oui, Energie : NC, GES : NC"
"VANEAU. Proche 'Le bon marche' dans un bel immeuble ancien, tres belle boutique vendue louee fin du bail 2018 d'une surface de vitrine de 6 m. Carrez 120.34 m2 aucun travaux. Loyer 5500 euros mensuels.Une belle cave complete cette offre.",http://www.explorimmo.com/annonce-924498.html,Paris 7eme,1130000,Consultants Immobilier,Vente divers 120 m2,"Nombre de pieces : Non precise, Surface : 120 m2, Energie : NC, GES : NC"
"PARIS 75007 Face a l' Hotel de BEAUHARNAIS rue de Lille, proche du musee d'Orsay dans un immeuble moderne de standing, nous vous proposons un spacieux deux pieces, lumineux et calme comprenant : Une entree, un sejour, une cuisine dinatoire, une chambre ,une salle de bains , un wc separe. Cet appartement est ideal pour un pied a terre. il est en bon etat avec de beaux volumes.",http://www.explorimmo.com/annonce-2986002.html,"Paris 7eme,",860000,Cabinet Roche,Vente appartement 2 pieces 55 m2,"Nombre de pieces : 2, Surface : 55 m2 (loi carrez), Nombre de chambres : 1, Nombre de salles de bain : 1, Ascenseur : oui, Digicode : oui, Interphone : oui, Salle de bain : oui, Energie : D (224), GES : B (10)"
"I@D France - Olivier LARUELLE (06 64 83 87 65) vous propose : Vue imprenable pour ce SPACIEUX 2 PIECES de 74m2 environ de GRAND STANDING situe au 8eme etage (SUD/EST) d'un immeuble classe dans le quartier du Champ-de- Mars et de la tres vivante rue Saint-Dominique. Profitez d'un espace de vie compose d'une cuisine moderne et equipee ouverte sur un sejour lumineux prolonge par un BALCON genereux donnant sur la TOUR EIFFEL. Un DRESSING zen, une buanderie et une chaleureuse suite parentale avec",http://www.explorimmo.com/annonce-4936394.html,Paris 7eme,1245000,I@d France,Vente appartement 2 pieces 74 m2,"Nombre de pieces : 2, Surface : 74 m2, Nombre de chambres : 1, Type de chauffage : Chauffage au fioul, Etage : 8, Exposition : Non precise, Ascenseur : oui, Balcon : oui, Cave : oui, Climatisation : oui, Digicode : oui, Interphone : oui, Energie : E (232), GES : E (45)"
