url,titre,infos,description,prix
http://www.laforet.com/acheter/paris-10/appartement-1-piece-V98370102719,Studio 42 m2 a vendre a Paris 10 - 316 000 ,"Surface sejour : 19 m2, Cuisine : Cuisine Independante Equ., Nombre de chambres : 1 chbre(s), Salle d'eau : 1, Chauffage : ELECTRICITE, Annee de construction : 1830, Cave : 1, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 107, Charges annuelles : 1765, Consommation energetique : 332 Kwh/m2/an","Appartement 1 piece(s) - 42 m2 environ - 316 000  * QUAI DE VALMY - RUE ALEXANDRE PARODI L'agence vous propose, dans un immeuble ancien bien entretenu et situe au bord du Canal Saint Martin, un studio atypique, au 4eme et dernier etage, de 42 M2 dont 34 M2 Carrez. Il est compose d'une piece principale, d'une chambre en mezzanine accessible par escalier bois, une cuisine equipee dinatoire, une salle d'eau avec WC sanibroyeur et d'une cave. Cet appartement coup de c?ur avec ses poutres apparentes est traversant et calme. Vendu equipe et meuble. Proches transports et commerces. Copropriete de 107 lots dont 66 lots d'habitation - Charges moyennes annuelles de 1.765 euros.",316 000
http://www.laforet.com/acheter/paris-10/appartement-2-pieces-V98370102582,Appartement T2 a vendre a Paris 10 - 299 000 ,"Cuisine : Cuis Us Equipee, Nombre de chambres : 1 chbre(s), Salle de bain : 1 salle(s) de bain, Chauffage : GAZ, Annee de construction : 1880, Cave : 1, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 30, Charges annuelles : 1400","Appartement 2 piece(s) - 41 m2 environ - 299 000  * METRO CHATEAU LANDON - DANS UN IMMEUBLE ANCIEN, APPARTEMENT DE TYPE 2 PIECES AVEC UNE PIECE PRINCIPALE, UNE CUISINE US EQUIPEE, UNE CHAMBRE, UNE SALLE DE BAINS, WC SEPARES, ET UNE CAVE. AGENCEMENT SANS PERTE DE PLACE. APPARTEMENT LUMINEUX AVEC UNE EXPOSITION OUEST. A VISITER RAPIDEMENT. PROXIMITE DES METROS ET DES 2 GARES. COPROPRIETE DE 30 ET CHARGES ANNUELLES DE 1400 euros .",299 000
http://www.laforet.com/acheter/paris-10/appartement-2-pieces-V98370102708,Appartement T2 a vendre a Paris 10 - 398 000 ,"Surface sejour : 18 m2, Cuisine : Cuisine Independante Equ., Nombre de chambres : 1 chbre(s), Salle de bain : 1 salle(s) de bain, Chauffage : CPCU, Annee de construction : 1970, Cave : 1, Balcon : Oui, Ascenseur : Oui, Acces handicape : Oui, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 559, Charges annuelles : 3000, Consommation energetique : 248 Kwh/m2/an","Appartement 2 piece(s) - 51.3 m2 environ - 398 000  * LOUIS BLANC - AQUEDUC Nous avons le plaisir de vous proposer ce 2 pieces fonctionnel de 50,65 M2 Carrez, au 6eme etage avec ascenseur d'une residence de standing, dotee de belles prestations (piscine, sauna, salle de sport, solarium, gymnase). L'appartement est lumineux (exposition Sud/Est), au calme sur cour et beneficie d'une vue degagee. Il dispose d'un agencement coherent : Entree avec rangements, un sejour, une cuisine independante equipee et dinatoire, une chambre donnant sur un balcon de 5m2 , une salle de bains avec WC ainsi qu'un grand dressing. L'appartement est en tres bon etat general. L'appartement est vendu avec une cave accessible par l'ascenseur de l'immeuble. A proximite des transports et commerces de la rue du Faubourg Saint Martin.",398 000
http://www.laforet.com/acheter/paris-10/appartement-1-piece-VD5280100019,Studio 23.54 m2 a vendre a Paris 10 - 175 000 ,"Cuisine : Americaine, Salle de bain : 1 salle(s) de bain, Chauffage : GAZ, Annee de construction : 1972, Balcon : Oui, Ascenseur : Oui, Consommation energetique : 204 Kwh/m2/an","Appartement 1 piece(s) - 23.54 m2 environ - 175 000  * Rue du FAUBOURG-POISSONNIERE Dans un immeuble recent, au 4 etage avec ascenseur, LAFORET vous propose un studio bien agence, disposant d'une entree, salle de bains avec toilettes, piece principale avec balcon et cuisine ouverte. Au calme, tous commerces et transports a proximite. Ideal pour premier achat ou investisseur.",175 000
http://www.laforet.com/acheter/paris-10/appartement-1-piece-V07490202552,Studio 18.5 m2 a vendre a Paris 10 - 132 000 ,"Cuisine : Kitchenette, Salle d'eau : 1, Chauffage : ELECTRICITE, Annee de construction : 1900, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 0, Charges annuelles : 0, Consommation energetique : 350 Kwh/m2/an",Appartement 1 piece(s) - 18.5 m2 environ - 132 000  * 10/18eme LA CHAPELLE - Proche acces Gare du Nord - dans un bel immeuble en Pierre de Taille au 6eme et dernier etage studio de 18m2 env. comprenant une piece principale avec un espace nuit - kitchenette - salle d'eau avec WC - Tres lumineux avec vue degagee A voir tres vite.,132 000
http://www.laforet.com/acheter/paris-10/stationnement-V98370102676,Stationnement 18.56 m2 a vendre a Paris 10 - 28 000 ,,"Stationnement - 18.56 m2 environ - 28 000  * BOX DEUX PLACES - METRO GARE DE L'EST Dans un immeuble recent, situe au deuxieme sous sol, box avec deux places en enfilade. Excellent etat. Faire vite.",28 000
http://www.laforet.com/acheter/paris-09/appartement-3-pieces-V07110102748,Appartement T3 a vendre a Paris 09 - 449 000 ,"Cuisine : Individuelle, Nombre de chambres : 2 chbre(s), Salle d'eau : 1, Chauffage : GAZ, Cave : 1, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 6, Charges annuelles : 444, Consommation energetique : 113 Kwh/m2/an","Appartement 3 piece(s) - 50 m2 environ - 449 000  * Cet appartement de trois pieces est compose d'une piece de vie plein Sud, cuisine, deux chambres, salle d'eau avec WC. Charme de l'ancien, chauffage individuel gaz. Appartement traversant ensoleille. Proche des commerces et des transports.",449 000
http://www.laforet.com/acheter/paris-09/appartement-3-pieces-V07110102679,Appartement T3 a vendre a Paris 09 - 371 000 ,"Cuisine : Americaine, Nombre de chambres : 2 chbre(s), Salle d'eau : 1, Chauffage : ELECTRICITE, Bien soumis a la copropriete : Oui, Nombre de lots de la copropriete : 1204, Charges annuelles : 1607.96, Consommation energetique : 274 Kwh/m2/an","Appartement 3 piece(s) - 45 m2 environ - 371 000  * RUE DE L'AGENT BAILLY Au sein d'une copropriete avec une jolie cour arboree, trois pieces situe en etage eleve compose d'une piece de vie avec sa cuisine ouverte, deux chambres, salle d'eau avec WC. Double exposition. Prevoir travaux de renovation. Proche des commerces de la rue des Martyrs.",371 000
http://www.laforet.com/acheter/paris-09/appartement-2-pieces-VA1480101948,Appartement T2 a vendre a Paris 09 - 357 000 ,"Cuisine : Americaine, Nombre de chambres : 1 chbre(s), Salle d'eau : 1, Chauffage : electricite, Cave : 1, Ascenseur : Oui","Appartement 2 piece(s) - 38.58 m2 environ - 357 000  * Paris 9eme - Saint Lazare / Liege En lisiere des 9 et 8 emes, dans une petite copropriete bien tenue, au 5eme etage avec ascenseur, lumineux 2 pieces de 36 m2 (31.5 loi Carrez) compose d'un salon avec cuisine americaine , chambre et petite piece de 5.5 m2 en duplex au 6 eme , salle de douche avec WC . Entierement refait avec gout, pas de perte de place, parquet ancien, beaucoup de charme. A voir sans tarder.",357 000
http://www.laforet.com/acheter/paris-09/appartement-2-pieces-V07110101232,Appartement T2 a vendre a Paris 09 - 247 000 ,"Cuisine : Simple, Nombre de chambres : 1 chbre(s), Salle d'eau : 1, Chauffage : ELECTRICITE, Consommation energetique : 369 Kwh/m2/an","Appartement 2 piece(s) - 29 m2 environ - 247 000  * RUE DE L'AGENT BAILLY Dans une copropriete de caractere 2 pieces atypique avec verriere compose d'un sejour , une chambre, cuisine, salle de bains - calme - Bon etat general. Vendu occupe.",247 000
