description,metro/0,metro/1,metro/2,url,localisation,prix,titre,infos
"charles-michels. au 1er etage sur cour. interphone, digicode, ascenseur. appartement 2 pieces de 39,77 m2 : entree, cuisine equipee, salle d'eau, toilettes. cave. faibles charges. (agences s'abstenir).",javel - andre citroen,charles michels,javel,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-7-r404800143,paris 15e (75015),330000,vente appartement 2 pieces 39 m2 paris 15e,"pieces : 2, chambre : 1, surface : 39, prix / m : 8.462"
"studio entierement refait a neuf en 2015 carrelage, electricite, plomberie, salle de douche et sanitaire, cuisinette, double vitrage et porte blindee, belle hauteur sous plafond. situe au 2e etage. vue sur cours.faibles charges (45  par mois). taxe fonciere : 180 . disponibilite immediate.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-7-r408400451,paris 19e (75019),129500,vente studio 16 m2 paris 19e,"piece : 1, surface : 16, prix / m : 8.094"
"porte bagnolet/porte montreuil. residence privee. au 1er etage tour de 29. 4 pieces 74 m2, tres bon etat : 3 chambres (9 a 12 m2), grand placard, grande penderie, cuisine equipee ouverte sur un sejour lumineux (20 m2) avec bar, salle de bains, wc separes et salle de douches entierement carrelee. petite buanderie ou dressing. taxe fonciere 873 /an. charges : 1.500 /trimestre (tout compris, eau chaude et froide, chauffage, ascenseurs, surveillance, entretien). immeuble entierement securise (digicode, cameras). gardiens disponibles 24h sur 24 , 3 ascenseurs, local velos. pas de parking prive mais possibilite. commerces, ecoles autour. metro a 100 m, tramway devant la porte (t4) et grand parc avec creche derriere en 2015. quartier en plein essor. (agences s'abstenir).",mairie de miribel,porte de bagnolet,porte de montreuil,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-7-r402601943,paris 20e (75020),350000,vente appartement 4 pieces 74 m2 paris,"pieces : 4, chambres : 3, surface : 74, prix / m : 4.730"
"residence ou pied-a-terre de luxe sur les bords de seine, entre passy et trocadero, disposant de l'une des plus belles vues seine et tour eiffel de paris (photo), avec vue degagee et sans aucun vis-a-vis. dans un immeuble recent, securise, en etage eleve, avec larges baies vitrees, lumiere et ensoleillement maximal (exposition sud-est et sud-ouest), appartement traversant entierement refait a neuf dans un style contemporain et avec des prestations haut de gamme. grand sejour sur balcon, cuisine en partie ouverte sur le sejour, 2 chambres au calme sur cour et sur petite terrasse, salle de douche, wc separes, dressing, nombreux placards et rangements. me faire svp parvenir vos questions/demandes par email ainsi que vos coordonnees et vos creneaux de disponibilite si vous souhaitez que je puisse vous contacter pour toutes questions ou visites.",passy,champ de mars - tour eiffel,bir-hakeim (tour eiffel),http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-6-r408400534,paris 16e (75016),1450000,vente appartement 3 pieces 90 m2 paris 16e,"pieces : 3, chambres : 2, surface : 90, prix / m : 16.111"
"studio 17,21 m2 carrez, hauteur sous plafond 3,10 m, rez-de-chaussee sur cour arboree. piece principale avec 2 fenetres, cheminee, penderie, parquet, cuisine equipee avec fenetre, salle de douche et wc. immeuble pierre de taille, local a velo, 2 digicodes. acces a personne a mobilite reduite. 60  mensuel pour les charges et 223  pour la taxe fonciere. possibilite de vendre meuble sur rendez-vous. (agences s'abstenir).",strasbourg - saint-denis,arts et metiers,temple,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-7-r401600878,paris 3e (75003),189000,vente studio 17 m2 paris,"piece : 1, surface : 17"
"studio de caractere. dans belle copropriete securisee (digicodes), style marais (poutres apparentes, tomettes), studio de 22,01 m2 (loi carrez), situe au 3eme etage sur petite cour calme. belle hauteur sous plafond (2,5 m). entree (3,93 m2) ; piece principale (15,21 m2) avec coin cuisine ouverte equipee, 2 fenetres double-vitrage. salle d'eau (2,87 m2) avec douche et vrai wc. chauffage individuel electrique. taxe fonciere : 82 /an. charges 78 /mois.",arts et metiers,reaumur - sebastopol,rambuteau (centre georges pompidou),http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-7-r408400494,paris 3e (75003),215000,vente studio 22 m2 paris 3e,"piece : 1, surface : 22, prix / m : 9.773"
"au sein d'une residence gardiennee et securisee, situee entre la rue belliard et la rue damremont, appartement de 2 pieces en rez-de-chaussee avec sa place de parking, d'une surface 55 m2, se composant d'une entree, d'une cuisine independante dinatoire, d'un cellier, d'un sejour, d'une chambre, d'un bureau ou d'une petite chambre de bebe, d'une salle de bains et d'un wc separe. le + : c'est un appartement qui ne donne pas sur la rue, mais sur la voie privee et pietonne de la residence. le parking est accessible avec l'ascenseur. surtout pas de professionnels de l'immobilier.",porte de clignancourt,jules joffrin,simplon,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-7-r408400468,paris 18e (75018),320000,vente appartement 2 pieces 55 m2 paris 18e,"pieces : 2, chambre : 1, surface : 55, prix / m : 5.818"
"maison loft limite paris 20/ bagnolet. tres beau loft comme une maison de ville dans rue tres calme. beaux volumes, belle hauteur sous plafond. renove par architecte avec prestations haut de gamme. 130 m2 (121) m2 en carrez) avec cour privative + place de parking, distribue sur 3 niveaux (r+2) : - rez-de-chaussee : sejour 55 m2 - cuisine americaine, point sanitaire, debarras. - r+1 : 3 chambres, dont 1 suite, 2 salles de bains avec sanitaires . - r+2 : 1 petit studio avec salle de bains / sanitaires. produit neuf (suite a transformation en habitation), prestations haut de gamme, materiaux de tres belle qualite. chauffage a inertie programmable. petite copropriete de 7 lots.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-8-r408300392,paris 20e (75020),605000,vente maison 130 m2 paris 20e,"pieces : 5, chambres : 4, surface : 130, prix / m : 4.654"
"2 pieces meuble, metro maraichers. rue d'avron. appartement totalement transforme facon high-tech reliant l'ancien au moderne, toute la decoration a ete repensee avec gout, installation d'une chaudiere individuelle a gaz, plomberie et electricite refaites, fenetres double vitrage, cuisine design sur mesure tout equipee, ainsi que la salle d'eau avec large cabine de douche. soumis a une petite copropriete au nombre de 8 lots, les charges sont de 85 euros mensuelles, et pas de soucis de gestion ni d'impaye parmi les coproprietaires. travaux de la cage d'escalier votes et payes (2015). appartement tres agreable a vivre et extremement bien agence, au 3e etage, aucune perte de surface, meuble avec style et gout pret a habiter pour soi ou pour investissement. avec bonne rentabilite. agences s'abstenir",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-8-r406500150,paris 20e (75020),240000,vente appartement 2 pieces 28 m2 paris 20e,"pieces : 2, chambre : 1, surface : 28, prix / m : 8.571"
"vue degagee. 3 x balcons sans vis-a-vis. immeuble de style 1920, dans rue calme. 6eme etage avec ascenseur. travaux : cuisine et salle de bains. 3 pieces 77 m2 carrez + cave. charges 320 /mois (chauffage collectif et gardien). proximite maternelle gustave dore, ecole ampere, lycee carnot.",wagram,pereire - levallois,pereire (marechal juin),http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-8-r407800563,paris 17e (75017),775000,vente appartement 3 pieces 77 m2 paris 17e,"pieces : 3, chambres : 2, surface : 77, prix / m : 10.065"
