description,metro/0,metro/1,metro/2,url,localisation,prix,titre,infos
"entre republique et bastille, au cirque d'hiver. appartement en duplex de 144 m2 loi carrez au premier et deuxieme etage avec ascenseur. dans un immeuble date de 1750 et oriente plein ouest. au rez-de-chaussee avec 3.60 m de hauteur sous plafond, un triple sejour de 48 m2 avec un parquet versailles, une entree avec placards, un wc, une cuisine et sa buanderie. a l'etage relie par un escalier dans une verriere 1900, un espace bureau, une chambre parentale de 25 m2 avec sa salle de douche et climatisee, une chambre de 17 m2 avec un coin nuit en mezzanine, et une chambre de 12 m2 sur cour, wc separes et salle de bains. moulures, miroirs, cheminee et corniches respectent l'epoque de construction 2 caves voutees completent l'ensemble.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-9-r405602439,paris 11e (75011),1400000,vente appartement 5 pieces 144 m2 paris,"pieces : 5, chambres : 3, surface : 144, prix / m : 9.722"
"appartement traversant de 3/4 pieces et de 90 m2 (dont 87.8 m2 carrez) dans le haut marais, rue notre-dame de nazareth. dans une rue calme au coeur d'un quartier recherche a deux pas de la place de la republique et de cinq lignes de metro. sa renovation par un architecte avec des materiaux de qualite en fait un appartement de charme. au 3e etage avec une orientation sud-ouest. il comprend : un vaste sejour/salle a manger traversante avec cuisine ouverte (45m2), une suite parentale avec dressing et salle de douche double vasque privee (20m2), une chambre avec bureau et placard integres (12m2), une salle de bains avec baignoire, un wc separe et entree avec nombreux rangements. il y a possibilite de faire une 3e chambre (plan sur demande). la copropriete est en cours de renovation (travaux votes dans la cour et les cages d'escalier).",temple,republique,arts et metiers,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-9-r408101877,paris 3e (75003),845000,vente appartement 4 pieces 90 m2 paris 3e,"pieces : 4, chambres : 2, surface : 90"
"rue pascal. limite 5eme, les gobelins. au 3eme etage, superbe 2 pieces de 45 m2 entierement renove. appartement traversant, calme et lumineux, sans aucun vis-a-vis. (salon : vue sur jardin / chambre : vue sur cour). se compose d'une entree, d'une cuisine americaine equipee donnant sur le salon et d'une chambre, salle de bains avec baignoire. possibilite de transformer la grande chambre en 2 petites chambres. 2 caves completent ce bien. aucuns travaux de copropriete a prevoir. pour les investisseurs, possibilite de transformer en 2 studios.",les gobelins,glaciere,corvisart,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r408400252,paris 13e (75013),455000,vente appartement 2 pieces 45 m2 paris 13e,"pieces : 2, chambre : 1, surface : 45"
"appartement 3 pieces 43,44 m2, rue daguerre 75014 paris. salle de bain (douche). cuisine. cheminee. parquet. moulures. double vitrage. tres bon etat. 2eme etage sur cour(s). cave. possibilite de parking (a vendre ou a louer : rue liancourt). taxe fonciere : 451 . charges trimestrielles : 232 . possibilite de transformer en grand 2 pieces et/ou de faire une cuisine americaine. agences s'abstenir. 1er contact par mail. visites prevues dimanche 25 octobre, jeudi 5 novembre et vendredi 6 novembre apres-midi. rer : denfert rochereau metro : denfert rochereau (ligne 6 - ligne 4), gaite (ligne 13) bus : 28, 38, 58, 68, 88",gaite,mouton-duvernet,denfert-rochereau (colonel rol-tanguy),http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r408400254,paris 14e (75014),431000,vente appartement 3 pieces 43 m2 paris 14e,"pieces : 3, chambres : 2, surface : 43"
"ravissant t2 (double sejour) atypique situe au carrefour du quartier menilmontant et du pere lachaise. proche metro et tous commerces. 4e etage, 59,35 m2 loi carrez. parquet, moulures et cheminees. cinq fenetres (cote rue). charme de l'ancien. bon etat general. peintures a rafraichir. surface paliere importante (couloir a agencer en biblioteque murale). cuisine separee avec possibilite d'ouverture sur le salon. petite salle de bains avec baignoire. immeuble neo-haussmannien. 4eme etage avec ascenseur. cave. visite sur rendez-vous. faibles charges de copropriete. parties communes recemment renovees. (non serieux et professionnels s'abstenir svp).merci d'ecrire un mail, reponse rapide.",pere lachaise,menilmontant,rue saint-maur,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-9-r408301675,paris 11e (75011),490000,vente appartement 2 pieces 60 m2 paris 11e,"pieces : 2, chambre : 1, surface : 60"
"appartement atypique en duplex - paris 8e. proche du metro miromesnil, cet appartement tres lumineux, situe au 5eme etage (ascenseur jusqu'au 4eme), dispose d'une surface de 107 m2 au sol et 77 m2 loi carrez. l'appartement comprend une entree desservant une piece a vivre (salle a manger + salon), une cuisine equipee, ainsi qu'une chambre avec salle de bains et dressing attenant. le 1er etage se compose d'une mezzanine desservant une seconde salle de bains ainsi qu'une chambre.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r408400256,paris 8e (75008),995000,vente appartement 3 pieces 107 m2 paris 8e,"pieces : 3, chambres : 2, surface : 107, prix / m : 9.299"
"appartement situe dans le 18e arrondissement de paris, au rez-de-chaussee d'une residence calme avec digicode, interphone, gardien et local a velo. a 10 mn a pied de la butte montmartre, quartier vivant avec de nombreux commerces, restaurants, bars, salles de sports et ecoles. appartement 2 pieces, comprenant : - un sejour de 11 m2, lumineux, entierement renove en janvier 2014, parquet neuf, donnant sur cour interieure fleurie ; - une chambre de 11 m2, donnant sur cour interieure sans vis-a-vis, entierement renovee en janvier 2014, parquet neuf ; - une cuisine de 8 m2 ; - une salle de bains de 5 m2 ; - une entree de 2 m2. chauffage collectif. dpe : 361 kwhep/ m2.an. electricite refaite aux normes entre l'appartement et les parties communes. acces metro : ligne 4, porte de clignancourt, 3 mn ; ligne 12, jules joffrin, 7 mn ; ligne 13, porte de saint-ouen, 10 mn. prix hors frais de notaire et droits d'enregistrement. contact par courriel de preference. agences s'abstenir absolument merci.merci d'appeler de preference apres 18h, n'hesitez pas a laisser un message en l'absence de reponse.",porte de clignancourt,simplon,jules joffrin,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r408400278,paris 18e (75018),240000,vente appartement 2 pieces 37 m2 paris 18e,"pieces : 2, chambre : 1, surface : 37, prix / m : 6.486"
"ecole militaire, 2 pieces de 39,5 m2, refait a neuf, a deux pas de la rue cler. salon lumineux, chambre sur cour, petite cuisine et petite salle de bains, sans couloir ni entree. dernier ravalement 2011, derniere renovation des parties communes 2012. charges 180  par mois.",ecole militaire,la tour-maubourg,varenne,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r408400311,paris 7e (75007),460000,vente appartement 2 pieces 40 m2 paris 7e,"pieces : 2, chambre : 1, surface : 40, prix / m : 11.500"
"pied a terre 10 m2, dans residence de standing. chauffage central, coin cuisinette, eau chaude, froide, situe au 1er etage. nombreuses prises, propre, tel, television, porte blindee et residence securisee. confort a l'etage.entre 17h et 20h durant la semaine",severine,adrienne bolland,saint-fargeau,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r408000349,paris 20e (75020),70000,vente studio 10 m2 paris 20e,"piece : 1, surface : 10, prix / m : 7.000"
"charmant 2 pieces de 45 m2 clair et calme. proche porte de saint-cloud, entierement refait a neuf par architecte en 2013 avec prestation haut de gamme. situe au 2eme etage avec ascenseur, tres belles prestations dans un style tres contemporain, beau parquet, tres bien agence, aucune perte de place. cuisine ouverte entierement equipee, plan de travail en granit, grand salon (environ 20 m2) lumineux avec canape et bureau encastre, 1 chambre, salle de bains avec wc. double vitrage fenetre neuve, nombreux rangements, aucuns travaux a prevoir. cave saine d'environ 3-4 m2. immeuble 1950 de bon standing, bien entretenu (gardien), ascenseur aux normes. chauffage-eau chaude central. travaux de remplacement de chaudiere central au gaz en cours (paye). pas d'autres travaux prevus a la derniere ag (juillet 2014). quartier porte de saint-cloud, dans rue calme, proche commerces, marche avenue versailles a 50 m, metro ligne 9 (porte de saint-cloud), ligne 10 (exelmans), tramway t3 et nombreux bus (22, 62, 72, pc...) dans la rue.",porte de saint-cloud (parc des princes),exelmans,boulevard victor - pont du garigliano,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r407700431,paris 16e (75016),420000,vente appartement 2 pieces 45 m2 paris,"pieces : 2, chambre : 1, surface : 45, prix / m : 9.333"
"beau 3 pieces 67 m2 lumineux, situe dans les hauteurs du 20eme arrondissement. refait a neuf (parquet, peintures). dans un immeuble de standing 1970, au 1er etage ascenseur, avec gardien, interphone, digicode. cet appartement de 67 m2, tres bien distribue, se compose d'une entree, d'un grand sejour avec cuisine americaine amenagee ouverte, deux belles chambres (14 m2, 9 m2), une salle de bains avec wc. quartier tres charmant typique du vieux paris, en haut des buttes chaumont. vue degagee et rue tres calme. chauffage collectif. proximite commerces et metro : pyrenees.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-9-r408400371,paris 20e (75020),418000,vente appartement 3 pieces 67 m2 paris 20e,"pieces : 3, chambres : 2, surface : 67"
"tres bel appartement de 57 m2, dans un immeuble ancien. remis a neuf, il dispose d'une salle de bains, d'une chambre de 14 m2, d'un double sejour pourvu d'une cuisine americaine. quartier calme et bien desservi, proche de la gare d'austerlitz, de la gare montparnasse, de la gare de lyon. situe a proximite de la place d'italie et des gobelins.",campo-formio,saint-marcel,les gobelins,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r408200366,paris 13e (75013),478000,vente appartement 2 pieces 57 m2 paris 13e,"pieces : 2, chambre : 1, surface : 57, prix / m : 8.386"
"rue spontini. studette de 9 m2 carrez (plus de 20 m3) au 7eme et dernier etage d'un immeuble haussmannien (ascenseur jusqu'au 6eme). cuisinette avec evier et plaques chauffantes, cabine de douche, rangements, tomettes d'origine au sol. acces a deux wc sur palier, vue degagee sans vis-a-vis, concierge vigik, digicode, calme, lumineux et fonctionnel, faibles charges, habitable de suite, ideal investissement, logement etudiant (isg et faculte dauphine) ou employe de maison. visite a partir du 29/08 metro rue de la pompe et rer porte dauphine, (agences s'abstenir).",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r407600357,paris 16e (75016),90000,vente studio 9 m2 paris 16e,"piece : 1, surface : 9, prix / m : 10.000"
"grand studio lumineux et traversant de 21,79 m2 (loi carrez), bon etat et tres bien desservi, ideal premier appartement. situe au 2eme etage au sein d'une petite copropriete sur rue calme. au coeur du village cambronne/ lecourbe. murs blancs, double vitrage, parquet, chauffage electrique individuel, nombreux rangements. cuisine, salle de bains, wc, machine a laver. charges mensuelles 110 /mois. a 2 min a pied du metro vaugirard (ligne 12) et 6 min du metro cambronne (ligne 6). bus 39, 70, 80, 88, 89 a proximite de l'appartement. agences s'abstenir.",vaugirard (adolphe cherioux),volontaires,convention,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-10-r408400347,paris 15e (75015),250000,vente studio 22 m2 paris 15e,"piece : 1, surface : 22"
"ce petit immeuble sans copropriete a ete transforme en maison particuliere en 1993. il est situe au calme dans une ruelle pietonne, proche des commerces de la rue des pyrenees et proche de la station de metro gambetta (ligne 3). tous commerces, restaurants, cinema, theatre... a 5 minutes. il comporte 3 chambres, un grand sejour-cuisine, une mezzanine et une cave. rez-de-chaussee : - 1 palier, - chambre 1 avec une alcove accueillant une douche et un wc, - chambre 2, - l'acces a la cave. 1er : - 1 palier, - 1 salle de bains avec baignoire et dressing traversant, - chambre 3, - 1 wc. 2eme : - 1 cuisine-sejour avec cheminee et belle hauteur sous toiture (4m30). mezzanine : - mezzanine pouvant servir de chambre ou bureau, avec un grand velux. sols en tomettes anciennes et plancher chene, portes en bois brut sable. chauffage au gaz.",gambetta,pelleport,pere lachaise,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-11-r408100292,paris 20e (75020),950000,vente maison 112 m2 paris 20e,"pieces : 5, chambres : 3, surface : 112"
"appartement familiale style loft - trois chambres - 116 m2. avenue theophile gautier - comme un nid perche, un espace de 90 m2 ouvert avec 10 metres lineaires de fenetres en double vitrage donnant sur des acacias - calme et ensoleille. cet espace est compose d'un double sejour de 50 m2 ouvert sur une cuisine dinatoire de 16 m2 et sur la chambre principale de 18 m2 - l'appartement comprend deux autres chambres dont une de 16 m2 et une plus petite. il beneficie d'une exposition sud, poutres, parquet, nombreux rangements (dressing et placards), salle de bains et wc separes. situe au 2e etage d'un immeuble de standing avec facade marbre, chauffage central et eau chaude immeuble, chaudieres neuves - deux ascenseurs dont un privatif. copropriete calme et tres bien entretenue, concierge. nombreux commerces, jardins, creche bilingue et ecoles a proximite. agences et intermediaires s'abstenir. site perso : http://mapage.noos.fr/merchid",mirabeau,jasmin,avenue du president kennedy,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-9-r408201351,paris 16e (75016),1218000,vente appartement 5 pieces 116 m2 paris 16e,"pieces : 5, chambres : 3, surface : 116, prix / m : 10.500"
"saint-jacques/denfert-rochereau. 2 mn a pied de la station metro saint-jacques. dans un immeuble tres agreable et recherche, un appartement de 25 m2, coup de coeur, au 3e etage comprenant : entree, cuisine, sejour, salle de bains avec wc, placards, balcon. cave. tres calme et lumineux, refait a neuf. faibles charges. gardien, digicode, local a velos. commerces, ecoles a proximite.",saint-jacques,denfert-rochereau (colonel rol-tanguy),mouton-duvernet,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-11-r402500379,paris 14e (75014),260000,vente studio 25 m2 paris,"piece : 1, chambre : 1, surface : 25, prix / m : 10.400"
"bel appartement residentiel 4 pieces, tres lumineux, au 13eme etage - proximite immediate du metro (losserand), quartier commercant au pied de l'immeuble. 2 salles de bain - 2 wc independants - nombreux placards - chauffage collectif par le sol et petits convecteurs electriques d'appoint dans chacune des pieces. 2 balcons d'orientation differente de surface globale 15 m2. vue degagee sur paris. jardins publics au pied de l'immeuble. immeuble et appartement securises totalement. garage 2 voitures possibles en sous-sol. cave securisee. stations autolib' et velib', station de taxi au pied de l'immeuble, marche a 100 m rue d'alesia, nombreux commerces.",plaisance,pernety,didot,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-11-r406300489,paris 14e (75014),950000,vente appartement 4 pieces 89 m2 paris,"pieces : 4, chambres : 3, surface : 89, prix / m : 10.674"
"magnifique appartement 120 m2, situe dans une residence recente de standing. 11eme etage avec terrasse et vue panoramique sur tout paris. 5 pieces : 3 chambres, 2 salles de bain, 2 wc, un grand salon, cuisine amenagee avec coin salle a manger. amenagement interieur de qualite et distribution interieure tres fonctionnelle. 2 emplacements de parking et 1 cave. il y a des travaux de remise en etat a prevoir mais l'appartement est habitable dans l'etat. agences s'abstenir.",pelleport,telegraphe,saint-fargeau,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-11-r408200348,paris 20e (75020),850000,vente appartement 5 pieces 120 m2 paris 20e,"pieces : 5, chambres : 3, surface : 120, prix / m : 7.083"
"paris 16eme - exelmans - 2/3 pieces de 51,50 m2 loi carrez, au 5eme etage avec ascenseur dans bel immeuble pierre de taille et briques. balcon filant, calme, lumineux. plan en etoile avec double sejour (26 m2 orientation est), chambre avec dressing (orientation sud), cuisine separee, salle de bains avec douche et wc. parquet, moulures, cheminee, porte blindee. eau chaude et chauffage individuels electriques. immeuble ravale recemment, situe rue de varize, parties communes en parfait etat, gardien. appartement a rafraichir. charges : 208  par mois. agences s'abstenir.disponible toute la journee en semaine et le week-end de 10h00 a 20h00",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-11-r406000376,paris 16e (75016),470000,vente appartement 2 pieces 51 m2 paris 16e,"pieces : 2, chambre : 1, surface : 51"
"appartement 86 m2 proche nation / porte vincennes, avec terrasse 30 m2 au calme sur jardin, 1er etage avec ascenseur, entree / cuisine us/sejour 3 5m2 avec 2 grandes baies vitrees, 3 chambres dont une de 20 m2, salle de bain + salle d'eau avec wc. cave et possibilite achat parking dans le sous-sol de la residence. cette annonce ne s'adresse pas aux agences.",alexandra david-neel,porte de vincennes,picpus (courteline),http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-11-r401800329,paris 12e (75012),760000,vente appartement 4 pieces 86 m2 paris 12e,"pieces : 4, chambres : 3, surface : 86"
"quartier saint-germain. rue du dragon. dans immeuble entierement refait, vends studio (18,50 m2 carrez. 23,70 m2 de surface au sol) avec mezzanine. calme. digicode et videophone. 4e et dernier etage avec ascenseur. entree, sejour, coin cuisine equipee (four combine, refrigerateur et 2 plaques electriques). salle de douche avec wc et emplacement lave-linge. mezzanine avec velux et rangements. chauffage et eau chaude electrique. charges de 150 euros par trimestre. proche grandes ecoles, universites, commerces et transports.",saint-germain-des-pres,mabillon,saint-sulpice,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-11-r407801350,paris 6e (75006),340000,vente studio 23 m2 paris 6e,"piece : 1, surface : 23"
"paris 12e. metro daumesnil. au 3eme etage avec ascenseur (immeuble 1960), appartement 65,20 m2 + loggia 2,5m2 : entree, beau sejour, cuisine semi-ouverte amenagee et equipee, 2 chambres dont une donnant sur la loggia, salle d'eau, 1 wc separe, buanderie et placards. tres lumineux (exposition sud-est). aucune perte de place, excellent etat (plomberie, electricite et chauffage refaits a neuf). chauffage collectif au fuel. parties communes renovees. vendu avec 1 cave privative. local a velo et poussettes. possibilite de louer 1 place de parking pour 90 /mois. proximite immediate metro daumesnil, tous commerces, creche et ecoles. cette annonce s'adresse uniquement aux particuliers. merci aux professionnels de ne pas appeler.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-11-r199210603,paris 12e (75012),490000,vente appartement 3 pieces 65 m2 paris 12e,"pieces : 3, chambres : 2, surface : 65, prix / m : 7.538"
"rue manin/buttes-chaumont. tres bel appartement 3 pieces de 57 m2, 2 chambres et grande piece de vie, salle de bains, wc separes, cuisine ouverte amenagee/equipee, fenetres d'atelier et balcon filant, rangements. entierement refait a neuf en 2014. aucuns travaux a prevoir. parquet massif, chauffage collectif, double exposition sur jardin, lumineux et tres calme. gardien et bonne copropriete. ascenseur, cave, possibilite box ferme. a 50 m du parc des buttes chaumont. coup de coeur assure. agences s'abstenir.",botzaris,danube,ourcq,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-12-r408000252,paris 19e (75019),450000,vente appartement 3 pieces 57 m2 paris 19e,"pieces : 3, chambres : 2, surface : 57"
"quartier glaciere 75013, a 200 m du metro glaciere, rue du champs de l'alouette. dans un bel immeuble securise, appartement de 45 m2 en pierre de taille, au 3eme etage (sur 6) avec ascenseur, tres calme, lumineux, sur cour. compose d'une entree avec placards, d'un agreable sejour lumineux (23 m2) avec rangements/bibliotheque, chambre (12 m2) avec grand placard, cuisine avec fenetre et salle de bains. vue degagee. exposition sud/ouest. bonne hauteur sous plafond. parquet en chene. chauffage individuel au gaz. cave en sous-sol. copropriete bien entretenue. gardienne. charges de copropriete : 130 /mois.n du proprietaire. agences s'abstenir. merci",glaciere,corvisart,saint-jacques,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-12-r406700369,paris 13e (75013),390000,vente appartement 2 pieces 45 m2 paris 13e,"pieces : 2, chambre : 1, surface : 45, prix / m : 8.667"
"rue censier, au pied du metro censier-daubenton. appartement de 47,5 m2. 1er etage avec ascenseur. balcon de 5,9 m2. sejour + cuisine americaine, 1 chambre, salle de bains avec baignoire et wc separes. grand placard. parquet. travaux de renovation en 2012. vue degagee sur rue calme et jardin. chauffage et eau chaude collectifs. cave. possibilite de parking dans l'immeuble en supplement. immeuble recent de haut standing securise (digicode, interphone) avec gardiens. appartement calme. proximite immediate des commerces et marches (place saint-medard, rue mouffetard) ainsi que des creches et grandes ecoles. agences s'abstenir. pour visiter, merci de nous contacter par telephone.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-12-r407500197,paris 5e (75005),509000,vente appartement 2 pieces 47 m2 paris,"pieces : 2, chambre : 1, surface : 47"
"pour investisseur placement ideal. appartemment a louer. 4 pieces tres bien situe metro etoile et ternes. profession liberale. fin de bail 7 ans. prix de vente net vendeur. au rez-de-chaussee. cet appartement, sans pretention (rapport et amenagement), est un honnete investissement, un placement stable pour le long terme. agences s'abstenir. (ref.: a49/0654).",argentine,ternes,neuilly - porte maillot,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-9-r404900654,paris 17e (75017),415000,vente appartement 4 pieces 54 m2 paris,"pieces : 4, chambre : 1, surface : 54, prix / m : 7.685"
"village daguerre. maison d'architecte, l'etroite facade verticale sur rue ne laisse pas deviner le grand jardin d'hiver double hauteur, traverse par une passerelle. ce jardin d'hiver inonde de lumiere la maison qui ouvre des fenetres sur les 4 orientations. la qualite des espaces donne a partager un art de vivre permettant a la fois convivialite et intimite. plusieurs publications ont confirme l'interet architectural de cette maison de ville qui se developpe sur 4 etages. agences s'abstenir.",gaite,raspail,denfert-rochereau (colonel rol-tanguy),http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-12-r406000306,paris 14e (75014),1997500,vente maison 206 m2 paris 14e,"pieces : 6, chambres : 4, surface : 206, prix / m : 9.697"
"a vendre, 2 pieces (transformable en studio), 75019 paris, metro jourdain, buttes-chaumont a 200 m. rez-de-jardin, 25 m2 plus une terrasse privative de 2 m2, dans un immeuble de 3 etages, 7 appartements, 7 habitants. chambre, salon avec fibre optique, cuisine equipee, cave. est-ouest. parquet chene massif. chauffage central individuel. renove par architecte. calme, vue sur jardin arbore flamboyant, filme par la television comme lieux de charme et curiosite rare. valeur locative 950 /mois charges comprises selon la nouvelle reglementation. taxe fonciere 2015 = 261  (avec ordures menageres). prix a debattre. agences s'abstenir. merci.merci d'appeler de 10h a 19h ou laisser le message",place des fetes,jourdain,botzaris,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-12-r407900250,paris 19e (75019),199000,vente appartement 2 pieces 25 m2 paris 19e,"pieces : 2, chambre : 1, surface : 25, prix / m : 7.960"
"tres bel appartement de 60 m2, situe dans la quartier vert du 14eme arrondissement, a 2 minutes a pied du metro alesia et a 10 minutes a pied de denfert-rochereau. de tres nombreux commerces et restaurants sont situes a moins de 5 minutes a pied de l'appartement. l'appartement extremement lumineux et tres calme est compose d'un vaste sejour avec cuisine ouverte, et d'une chambre. pas de travaux a prevoir dans cet appartement. le bien est situe au quatrieme etage avec ascenseur, dans un immeuble de 5 etages et compose uniquement de 6 appartements. un parking situe dans l'immeuble et une cave sont vendus avec l'appartement.merci d'appeler entre 13h et 14h et a partir de 18h30",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-12-r408100261,paris 14e (75014),600000,vente appartement 2 pieces 60 m2 paris 14e,"pieces : 2, chambre : 1, surface : 60, prix / m : 10.000"
"a vendre : appartement de 2 pieces de 42 m2, au deuxieme etage, au calme dans un immeuble bien tenu. il est compose : d'une entree avec deux placards, de deux pieces principales (dont la chambre avec un grand placard), d'une cuisine, d'une salle de bains, et de wc separes de la salle de bains. l'appartement est en tres bon etat : il a ete recemment refait (electricite, plomberie, parquet, peintures, wc, salle de bains, cuisine, serrures, etc...). la cuisine est moderne et entierement meublee. le chauffage est collectif au gaz, la porte est blindee. il y a un concierge et l'ascenseur a ete deja mis aux normes. quartier avec de nombreux commerces de proximite, et un parc a 3 mn a pied. desservi par les lignes 9 et 10 du metro et les lignes 22, 62 et 72 du bus. l'appartement est vendu libre, et il comprend un cave.",chardon-lagache,michel-ange - molitor,exelmans,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-12-r408100235,paris 16e (75016),358000,vente appartement 2 pieces 42 m2 paris 16e,"pieces : 2, chambre : 1, surface : 42, prix / m : 8.524"
"paris 20eme, appartement 3 pieces de 60 m2, situe au 3eme etage sans ascenseur (immeuble de 4 etages), dans une rue calme a sens unique. + une grande cave avec le lot + option pour place de parking en sous-sol (vendue a part). metro maraichers (ligne 9) a moins de 2 minutes. a moins de 10 minutes de nation 3 ecoles maternelles et primaires, 3 creches, pressing, magasin bio, lidl, carrefour market, simply market, franprix... tout ca a moins de 2-3 minutes a pied. salle d'arts martiaux au bas de l'immeuble. *** entree *** grande penderie et wc separes avec fenetre double vitrage pvc neuf, porte blindee picard diamant 7 points (valeur pres de 3.000 ), parquet au sol. *** salon *** grand piece traversante d'environ 25 m2, ouverte sur la cuisine. tres lumineux (grandes baies vitrees), double vitrage pvc neuf, parquet au sol. *** cuisine *** environ 6 m2, traversante, vue sur cour, ouverte sur le salon (separee du salon par un bar, possibilite de refermer). cuisine equipee encastree : meubles haut et bas, lave-vaisselle bosch, micro-ondes, plaque induction, four electrique bosch. carrelage au sol. *** 1ere chambre *** environ 8 m2, grand dressing a porte coulissante, double vitrage pvc neuf, parquet au sol. *** 2eme chambre *** environ 9 m2, deux grands dressing a porte coulissante, double vitrage pvc neuf, parquet au sol. *** salle d'eau *** environ 6 m2, grande douche a l'italienne avec briques de verre, vasque design en pierre noire, rangement sous la vasque pour mettre un lave-linge sechant (nous pouvons laisser le notre, a negocier), grande fenetre double vitrage pvc, seche-serviette electrique, entierement carrelee. radiateurs et ballon d'eau chaude electriques. les radiateurs sont des acova chaleur douce, tres economiques et design. fibre disponible dans l'immeuble. faibles charges : 110  / mois, taxe fonciere : 680 / an.agences s'abstenir. n'hesitez pas a laisser un message avec vos coordonnees completes si je ne decroche pas !",maraichers,porte de montreuil,buzenval,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r408000211,paris 20e (75020),410000,vente appartement 3 pieces 61 m2 paris 20e,"pieces : 3, chambres : 2, surface : 61, prix / m : 6.721"
"proche place de la bastille et marais (place des vosges). appartement charmant de 47 m2 loi carrez refait a neuf en 2011, renove avec gout, sans vis-a-vis direct. appartement tres calme, au 3eme etage sans ascenseur, traversant sur 2 cours avec vue sur les toits de paris. il se compose d'une entree, d'un grand salon avec cuisine ouverte equipee, d'une chambre et d'une salle de douche/wc. parquet, cheminee, poutres apparentes, double vitrage. plan compact sans perte de place. immeuble ancien (pierre de paris) recemment renove et bien entretenu. localisation recherchee. proche commerces, place de la bastille, marche richard-lenoir, marais,... metro bastille ou breguet-sabin. ideal egalement pour locations saisonnieres car represente le paris charmant.",breguet - sabin,bastille,chemin vert,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r408000201,paris 11e (75011),520000,vente appartement 2 pieces 47 m2 paris 11e,"pieces : 2, chambre : 1, surface : 47, prix / m : 11.064"
"paris 20eme. studio tres clair de 16,5 m2, avec salle de douche et wc. 1er etage, deux grandes fenetres, recemment rafraichi. immeuble bien entretenu.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r408400172,paris 20e (75020),135000,vente studio 16 m2 paris 20e,"piece : 1, surface : 16, prix / m : 8.438"
"metro notre dame des champs. rue sainte-beuve. dans immeuble pierre de taille. studio de 19 m2 en bon etat, au 6eme etage. ensoleille et calme, trois orientations. salle d'eau (douche, wc, lavabo), cuisinette avec fenetre. tout confort. gardienne digicode.",,,,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-13-r408400194,paris 6e (75006),227000,vente studio 19 m2 paris 6e,"piece : 1, surface : 19, prix / m : 11.947"
"vends appartement 2 pieces 43 m2, metro la chapelle. vends appartement, immeuble type haussmann, 2 pieces 43 m2, rez-de-chaussee lumineux, cote rue (rue cave) et cote cour. bon etat, 2 pieces, cuisine, salle de bains (douche), dressing. facade refaite en 2015. peu de charges.",la chapelle,chateau rouge,marx dormoy,http://www.pap.fr/annonce/vente-appartement-maison-paris-75-g439-12-r406700359,paris 18e (75018),280000,vente appartement 2 pieces 43 m2 paris,"pieces : 2, chambre : 1, surface : 43, prix / m : 6.512"
