url,titre,infos,description,prix
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/102296839.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=28&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 3 pieces 50m2 paris 11eme,"surface de 50 m2, 5 etages, 5 etage, 3 pieces, 2 chambres, 2 salles de bain, 2 toilettes, parquet, cave, chauffage individuel, cuisine separee equipee, digicode, entree, calme","appartement original'2 en 1'communiquant, refait completement a neuf au 5eme et dernier etage. le deux pieces comprend: une salle de bains avec wc, une cuisine equipee, une salle a manger et une grande chambre avec acces par echelle de meunier aux combles amenagables (50m2 environ) quant au studio, celui ci est compose d'une cuisine, une salle de bains avec wc et d'une piece principale. peintures naturelles. electricite et isolation refait a neuf. cave charges annuelles: 1320 e.",580000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/republique-saint-ambroise/102297699.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=28&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 3 pieces 68m2 paris 11eme,"surface de 68 m2, 8 etage, 3 pieces, 1 chambre, 1 salle de bains, 1 toilette, rangements, ascenseur, 1 balcon, 1 box, cuisine equipee, digicode, entree, calme, orientation sud, dpe: d (194), ges : e (45)","paris 11eme limite 3e, metro filles du calvaire. dans un immeuble moderne et securise, au 8eme etage avec ascenseur. superbe appartement 3 pieces de 68 m2 environ avec balcon filant, comprenant entree, sejour, salle a manger, chambre, cuisine equipee, salle de bains, wc separe, dressing, rangements. exposition sud. vue degagee. tres belles prestations. box et cave en sous-sol. contactez mme laheurte, le cabinet de paris port royal.",760000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/belleville-saint-maur/102303789.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=28&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 2 pieces 23m2 paris 11eme,"surface de 23 m2, annee de construction 1900, 6 etages, 2 etage, 2 pieces, 1 chambre, 1 salle de bains, 1 toilette, toilettes separees, chauffage individuel electrique, cuisine aucune, digicode, entree, calme, orientation est, dpe: f (379), ges : d (21)",dans un quartier en plein developpement. appartement donnant sur courcalme. entree dans piece principal. coin cuisine. une chambre. salle de bains avec wc.au calme. immeuble ravale. ideal pour investisseur.,183000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/102307769.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=28&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 2 pieces 39m2 paris 11eme,"surface de 39 m2, annee de construction 1900, 6 etages, 5 etage, 2 pieces, 1 chambre, 1 salle de bains, 1 toilette, cave, chauffage individuel electrique radiateur, cuisine separee, interphone, digicode, entree, salle de sejour :, vue, calme, orientation ouest, sud","metro goncourt proche tous commerces - l'agence une maison bleue vous propose dans un immeuble de 1900 bien entretenu et propre, aux parties communes fraichement renovees, un appartement deux pieces expose sud-ouest, au 5eme etage sans ascenseur, comprenant une entree, une cuisine, une belle piece de sejour sur rue avec vue degagee, une chambre sur rue, une salle de bain avec wc. cave. les fenetres sont en pvc doubles vitrages, l'appartement est a rafraichir. l'appartement saura vous seduire de par sa luminosite et son calme, il offre plusieurs amenagement possibles. baigne de soleil. a voir vraiment tres rapidement ! et toujours avec honoraires reduits ! dont 1.98 % honoraires ttc a la charge de l'acquereur. copropriete de 89 lots charges annuelles: 1200 e.",359000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/belleville-saint-maur/102293283.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=28&tri=d_dt_crea&bd=Li_LienAnn_1,"vente studio 17,63m2 paris 11eme","surface de 18 m2, annee de construction 1850, 4 etages, 2 etage, 1 piece, 4 salles d'eau, 1 toilette, television par cable, chauffage individuel electrique, cuisine coin cuisine, digicode, salle de sejour :, orientation est, nord, dpe: g (496), ges : d (28)","metro parmentier- rue de la fontaine au roi 75011 paris: dans un immeuble ancien bien entretenu, nous vous proposons ce studio compose d'une cuisine dinatoire, d'un sejour-chambre et d'une salle d'eau avec wc. appartement donnant sur la cour de l'immeuble. ideal pour un 1er achat ou pour un investissement. bien soumis au statut de la copropriete. la quote-part du budget previsionnel a la charge du vendeur est de 983 euros/an. aucune procedure du syndicat des coproprietaires en cour.",159000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/belleville-saint-maur/102286857.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=28&tri=d_dt_crea&bd=Li_LienAnn_1,"vente appartement 3 pieces 62,27m2 paris 11eme","surface de 62 m2, 7 etages, 3 etage, 3 pieces, 1 chambre, 1 salle d'eau, 1 toilette, toilettes separees, rangements, ascenseur, cave, 2 balcons, chauffage central fuel radiateur, cuisine separee, entree, salle de sejour : 26 m2, dpe: e (253), ges : f (76)","rue saint maur - entre les metros parmentier et goncourt, dans une residence recente avec ascenseur, 2/3 pieces traversant de 62.27 m2 lc comprenant entree avec placards, double sejour sur balcon de 7 m2, cuisine separee, chambre sur balcon, salle d'eau, wc independant et cave. nombreux rangements. possibilite d'achat d'un box en sus ! pour toute demande d'informations et organiser une visite, contactez adrien.",495000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/belleville-saint-maur/102205065.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente studio 30m2 paris 11eme,"surface de 30 m2, annee de construction 1930, 6 etages, rdc etage, 1 piece, 1 salle d'eau, 1 toilette, chauffage individuel electrique, cuisine equipee, digicode, salle de sejour : 15 m2","metro rue st maur. dans un immeuble ancien, au rez-de-chaussee, studio de 27m2 loi carrez, refait par architecte, comprenant une piece principale de 15m2, coin nuit en mezzanine de 5m2, cuisine equipee, salle d'eau avec. prestations de qualites. a voir !",230000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/101350295.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente studio 29m2 paris 11eme,"surface de 29 m2, annee de construction 1970, 5 etages, 2 etage, 1 piece, 1 salle de bains, 1 toilette, ascenseur, cave, chauffage central fuel, cuisine coin cuisine, digicode, gardien, vue, calme","metro parmentier. dans un immeuble recent de bon standing, au 2eme etage avec ascenseur, studio de 29m2 comprenant une piece principale avec coin cuisine, salle de bain avec wc et cave. clair, calme et vue degagee. a voir.",229000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/republique-saint-ambroise/102221091.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 4 pieces 102m2 paris 11eme,"recent, travaux a prevoir, surface de 102 m2, annee de construction 1972, 8 etages, 5 etage, 4 pieces, 2 chambres, 1 salle de bains, 1 salle d'eau, 2 toilettes, toilettes separees, ascenseur, 7 m2 cave, 1 balcon, chauffage fuel radiateur, 17 m2 salle a manger, salle de sejour : 16 m2, 7 m2 balcon, dpe: e (240), ges : f (58)","richard lenoir 4 pieces, 5eme etage, grand balcon, 1sdb, i salle d'eau, wc separes, grand sejour, deux chambres (possible trois). possibilite de restructurer l'appartement a son gout car il y a peu de murs porteurs. grande cave. grande baie vitrees, double exposition. ""un pour tous"", nous cherchons et trouvons pour vous.un petit coup de fil, parlons de votre projet !",799000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/100186129.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente studio 19m2 paris 11eme,"surface de 19 m2, annee de construction 1997, 3 etages, rdc etage, 1 piece, 1 salle de bains, 1 salle d'eau, 1 toilette, ascenseur, chauffage individuel electrique, cuisine coin cuisine, interphone, digicode, salle de sejour : 13 m2, dpe: d (217), ges : b (10)","metro parmentier. dans un immeuble moderne de bon standing, au rez-de-chaussee, studio de 18m2 comprenant un sejour de 13m2, kitchenette et salle de bains avec wc. vendu loue 740 euros cc jusqu'au 31/03/2016. ideal investisseur !",170000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/102226541.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 57m2 paris 11eme,"duplex, surface de 57 m2, 3 pieces, 2 chambres, 1 salle de bains, 1 toilette, toilettes separees, cave, salle de sejour :","""metro nation/avron"" au dernier etage d'un petit immeuble ancien, agreable duplex 3 pieces comprenant: entree, sejour traversant 32 m2, cuisine ouverte, 2 chambres, salle de bains, wc separes, cave. poutres apparentes, cheminee, double exposition. faibles charges.",470000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/101363967.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente studio 30m2 paris 11eme,"surface de 30 m2, 2 etage, 1 piece, 1 salle de bains, 1 toilette, ascenseur, cave, chauffage central, cuisine americaine, digicode, gardien, orientation est, sud, dpe: c (), ges : d ()","dans un immeuble recent au 2e etage avec ascenseur, studio avec sa cuisine ouverte, salon spacieux, rangements, 1 salle de bains avec wc + 1 cave. tres lumineux avec une vue degagee sur beau jardin, calme et a deux pas des transports et des commerces. bon produit a saisir vite !",229000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/bastille-popincourt/102227133.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 2 pieces 54m2 paris 11eme,"surface de 54 m2, 4 etage, 2 pieces, 1 chambre, 1 salle de bains, 1 toilette, chauffage electrique radiateur, cuisine americaine, orientation ouest","rue du fbg st antoine, proche de la bastille, charmant 2 pieces avec ses belles poutres au 4e etage, dans immeuble ancien, salon (36 m2), cuisine ouverte avec son bar, 1 chambre et 1 salle de bains avec wc. petits rafraichissements, tres ensoleille plein ouest. quartier top, ideal premier achat couple ou investissement locatif.",489000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/leon-blum-folie-regnault/102231831.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 2 pieces 40m2 paris 11eme,"surface de 40 m2, annee de construction 1900, 5 etages, 3 etage, 2 pieces, 1 chambre, cave, cuisine separee, interphone, entree, salle de sejour :, orientation est, ouest, dpe: g (485), ges : c (15)","metro menilmontant. dans un bel immeuble ancien ravale, charmant appartement de 2 pieces traversant de 40 m2 au 3eme etage. il se compose d'une entree, un sejour (12,69 m2), une cuisine independante, une chambre (12,11 m2), une salle d'eau avec wc, une cave. aucun vis-a-vis, expose est-ouest, baigne de lumiere et de soleil. a 100m du metro menilmontant, 5 min de pere lachaise et saint-maur, marche en face et tous commerces au pied de l'immeuble.",330000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/nation-alexandre-dumas/102235713.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 4 pieces 86m2 paris 11eme,"surface de 86 m2, 10 etages, 3 etage, 4 pieces, 3 chambres, 1 salle de bains, 1 salle d'eau, 1 toilette, parquet, rangements, ascenseur, 1 balcon, cuisine separee, entree, salle de sejour :, calme, dpe: f (400), ges : c (18)","quartier charonne, au sein d'une residence recente bien entretenue, nous vous proposons de 3/4 pieces de 83m2 compose d'une entree, d'un sejour de 28m2 bien expose avec balcon donnant sur jardin au calme. une cuisine independante a amenager (possibilite de cuisine ouverte), une salle de bains, deux chambres (possible 3) sur jardins egalement dont une avec sa salle de douche, un wc separe, beaucoup de rangements, parquet massif dans tout l'appartement. charges courantes 3960 e/an. nombre de lots de copropriete: 330.",735500
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/bastille-popincourt/102241041.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 3 pieces 54m2 paris 11eme,"surface de 54 m2, 3 pieces, 1 chambre, cave, 1 terrasse, calme, dpe: f (433), ges : c (14)","orpi vous presente cet appartement de type 2/3 pieces (47 m2 carrez, 54 m2 au sol) au coeur du quartier historique de la bastille. sur une belle cour pavee, au calme, lumineux, beaux volumes, 3,55 metres de hauteur sous plafond, cachet et charme de l'ancien. copropriete bien tenue (travaux votes et payes), belle terrasse de 13 m2 sur cour, bon etat. possibilite parking en sus a 25 000 euros. une cave vient completer ce bien.. copropriete de lots charges annuelles: euros525000 euros dont 4.76 % ttc a la charge de l'acquereur.",525000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/leon-blum-folie-regnault/102230771.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 3 pieces 55m2 paris 11eme,"surface de 55 m2, annee de construction 1830, 3 etages, 1 etage, 3 pieces, 2 chambres, 1 salle d'eau, 1 toilette, cave, terrasse, 1 terrasse, chauffage individuel electrique radiateur, interphone, digicode, gardien, salle de sejour : 17 m2, calme, orientation ouest, sud, dpe: f (433), ges : c (14)","entre les metros bastille et voltaire, 3 pieces calme et lumineux dans une corpropriete idealement situee rue de la roquette. appartement atypique offrant de nombreuses possibilites comprenant sejour/cuisine sur terrasse de 14 m2 en exposition sud-ouest, chambre/bureau, chambre sur cour au calme, hauteur sous plafond de 3,60m, cave, gardien et possibilite parking. dont 5.00 % honoraires ttc a la charge de l'acquereur. copropriete de 123 lots charges annuelles: 1320 e.",525000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/nation-alexandre-dumas/102250151.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 2 pieces 31m2 paris 11eme,"surface de 31 m2, 4 etages, 1 etage, 2 pieces, 1 chambre, 1 salle de bains, 1 toilette, rangements, chauffage individuel electrique radiateur, cuisine americaine equipee, entree, salle de sejour :, calme, orientation nord, ouest","exclusivite villaret - passage guenot - au sein d'un immeuble ancien, nous vous proposons un appartement 2 pieces de 31.31 m2 traversant sur passage et cour en bon etat. il dispose d'une entree, d'un beau sejour avec cuisine ouverte equipee donnant sur un square arbore, d'une chambre spacieuse avec rangement et d'une salle de bains avec wc. appartement agreable au calme absolu, vue agreable et degagee sans vis a vis. en sous-sol, une cave complete ce bien.",280000
http://www.seloger.com/annonces/achat/appartement/paris-11eme-75/belleville-saint-maur/102242015.htm?ci=750111&idqfix=1&idtt=2&idtypebien=1&listing-listpg=29&tri=d_dt_crea&bd=Li_LienAnn_1,vente appartement 2 pieces 43m2 paris 11eme,"surface de 43 m2, 7 etages, 4 etage, 2 pieces, 1 chambre, 1 toilette, toilettes separees, parquet, ascenseur, cave, chauffage individuel radiateur, cuisine americaine, digicode, entree, vue, calme, orientation ouest, dpe: f (420), ges : c (13)","entre philippe auguste et belleville, au 4eme etage d'un immeuble pierre de taille, ce 2 pieces au charme romantique comblera vos attentes de calme et de luminosite par ses larges fenetres, ses volumes agreables et son parquet chataigner. a l'occasion de votre visite, vous decouvrirez que cette annonce ne revele pas tout de ses avantages.",389000
