haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface_q,coordonnee_x_q,coordonnee_y_q,arrondissement_q,etage_q,nombre_etages_q,nombre_pieces_q,nombre_salles_de_bains_q,nombre_WC_q,nombre_chambres_q,date_refection_q,charges_q,nombre_fenetres_q,surface_balcon_q,date_construction_q,hauteur_plafond_q,taxe_fonciere_q,date_ravalement_q,honoraires_q,terrasse_surface_q,piscine_taille_q,classification_energie_q,prix
,1,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,0,110,23002,488413,15,6,,5,,,3,,,,,,,,,,,,,2000
,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,16,23148,488304,14,5,,1,,,,,,,,,,,,,,,,0
,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,45,23522,488256,13,,,3,,,2,,,,,,,,,,,,,1000
,1,,,,1,,,,,1,,,,,,,,1,,1,,1,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,1,30,23297,488404,6,,,1,,,,,,,,,,,,,,,,1000
,,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,27,23247,488844,17,,,1,,,,,,,,,,,,,,,,0
,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,1,1,,,,,1,,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,1,,1,50,22977,488319,15,,,3,,,2,,,,,,,,,,,,,1000
,1,,,,1,,,,1,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,0,78,23178,488778,8,,,3,,,2,,,,,,,,,,,,,2000
,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,1,93,22965,488399,15,5,,4,1,,2,,,,,,,,,,,,,2000
,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,70,22808,488363,15,,,3,,,2,,,,,,,,,,,,,1000
,1,,,,1,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,1,,0,30,23574,488719,10,,,1,,,1,,,,,,,,,,,,,0
