haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,1,,,,1,42,23701,488779,10,,,2,,,1,,,,,,,,,,,,,370000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,1,33,23202,488903,17,,,1,,,,,,,,,,,,,,,,299000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,1,30,23202,488903,17,,,1,,,,,,,,,,,,,,,,273000
1,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,0,60,23221,488844,17,,,2,,,1,,,,,,,,,,,,,600000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,43,23202,488903,17,,,2,,,1,,,,,,,,,,,,,426000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,0,25,23221,488844,17,5,,1,,,,,,,,,,,,,,,,215000
,,,,,1,,,,1,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,1,,,,0,76,23221,488844,17,,,3,,,2,,,,,,,,,,,,,580000
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,0,115,22761,488628,16,,,4,,,3,,,,12,,,,,,,,,1095000
,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,1,1,,1,,,,,1,,,,1,,,1,,,,1,143,22679,488523,16,2,,5,,,3,,,,,,,,,,,,,1230000
,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,0,59,22761,488628,16,5,,3,,,2,,,,,,,,,,,,,495000
