haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,1,,,,,,0,320,23268,488329,14,,3,9,4,,6,,,,,,,,,,,,,3330000
,,,1,,1,,,,1,,,,1,,,,,,,,,,,,1,1,,,,,,1,,,,,1,,,,,1,,,1,1,1,,,,,1,,,,,,,,1,1,,,,,,0,121,23268,488329,14,,,5,1,,4,,,,,2013,,,,,,,,1820000
,,,1,1,1,,,,,,,,,,,,,,,,,,1,,1,,,,,1,0,,1,,,,1,,,,,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,0,85,23820,488828,19,1,2,5,1,1,3,,,,,1887,,,,,,,,830000
,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,1,,,,,,0,130,23268,488329,14,,2,6,2,3,5,,,,,1920,,,,,,,,785000
,,,1,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,0,120,23268,488329,14,1,,5,,,2,,,,,1967,,,,,,,,880000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,1,,,,,,0,160,23268,488329,14,,,5,,,2,,,,,,,,,,,,,1467000
,,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,1,1,,,,,1,,,,,,,,,1,,,,,,0,450,23268,488329,14,2,,8,2,3,4,,,,,,,,,,,,,5400000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,,0,184,23268,488329,14,,,6,1,,5,,,,,,,,,,,,,2260000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,0,140,23445,488923,18,,,6,,,4,,,,,,,,,,,,,1700000
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,,0,134,23445,488923,18,,,6,1,2,5,,,,,,,,,,,,,1250000
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,1,,,,,,0,750,23268,488329,14,,,10,,,6,,,,,,,,,,,,,14000000
,1,,1,1,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,0,287,23445,488923,18,,2,9,1,1,4,,,,,,,,,,,,,2390000
,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,1,,,,,1,,,,1,1,,,,,,1,,,,,,,,1,,,,,,0,196,23445,488923,18,,,5,1,3,4,,,,,,,,,,,,,1190000
,,,1,1,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,0,39,23445,488923,18,,,3,,1,1,,,,,,,,,,,,,349000
,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,0,134,23445,488923,18,,,8,,,5,,,,,,,,,,,,,1240000
,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,,0,166,23268,488329,14,,,6,,,4,,,,,,,,,,,,,2260000
,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,0,32,23268,488329,14,,,2,1,1,1,,,,,1900,,,,,,,,340000
,,,1,1,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,,1,1,,,,1,1,,,1,1,,1,,,1,,,,,,,1,,1,,,,,,1,300,23267,488283,14,1,,10,2,4,5,,,,,,,,,,,,,2750000
,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,0,65,23445,488923,18,,6,6,,,6,,,,,,,,,,,,,380000
,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,1,,,,,1,,,,,,1,,,1,,,,,,0,150,23268,488329,14,1,,6,1,3,5,,,,,1920,,,,,,,,1790000
