haussmann,ascenseur,orientation_sud,WC_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,43,23200,488903,17,,,2,,,1,,,,,,,,,,,,,426000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,25,23221,488844,17,5,,1,,,,,,,,,,,,,,,,215000
,,,,,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,1,,,76,23221,488844,17,,,3,,,2,,,,,,,,,,,,,580000
1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,1,1,,,,,,1,,,,115,22761,488628,16,,,4,,,3,,,,12,,,,,,,,,1095000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,1,1,,1,,,,1,1,,,143,22679,488523,16,2,,5,,,3,,,,,,,,,,,,,1230000
,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,1,,,,59,22761,488628,16,5,,3,,,2,,,,,,,,,,,,,495000
,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,47,,,,2,,3,,,2,,,,,,,,,,,,,399000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,1,1,,,,,,,40,22761,488628,16,,,2,,,1,,,,,,,,,,,,,340000
,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,,,1,,,,,,,,,,,1,,,,,1,,1,,,,70,22761,488628,16,8,,2,,,1,,,,,,,,,,,,,720000
1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,1,1,,,,,,1,,,,115,22761,488628,16,,,4,,,3,,,,12,,,,,,,,,1095000
