Nom de la feature,Description,Type yes/no,Ligne de la feature opposée,Mots à chercher 1,Mots à chercher 2,Mots à chercher 3,Mots à chercher 4,Mots à chercher 5,Mots à chercher 6
nombre_fenetres_q,Nombre de fenêtres,,,([0-9]+) fenetres,nombre de fenetres ([0-9]+),nombre de fenetres \: ([0-9]+),,,
surface_balcon_q,Surface de balcon,,,balcon ([0-9]+) m2,balcon ([0-9]+) metres carres,([0-9]+) m2 de balcon,([0-9]+)m2 de balcon,,
date_construction_q,Date de construction de l'immeuble,,,immeuble construit en ([0-9]+),construction \: ([0-9]+),annee de construction ([0-9]+),,,
hauteur_plafond_q,Hauteur sous plafond,,,hauteur sous plafond \: ([0-9]+),"([0-9,.]+)m de hauteur sous plafond",,,,
taxe_fonciere_q,Taxe foncière,,,taxe foncière \: ([0-9]+),"([0-9,.]+)€ de taxe fonciere",taxe fonciere \: ([0-9]+),,,
date_ravalement_q,Date de ravalement,,,date de ravalement \: ([0-9]+),ravalé en ([0-9]+),ravale en ([0-9]+),,,
honoraires_q,Honoraires,,,honoraires \: ([0-9]+),([0-9]+)€ d'honoraires,,,,
terrasse_surface_q,Surface de terrasse,,,"terrasse \: ([0-9,.]+) m2","([0-9,.]+) m2 de terrasse",,,,
piscine_taille_q,Taille de piscine,,,"piscine \: ([0-9,.]+) metres",,,,,
classification_energie_q,Classification énergétique,,,classification énergétique \: ([0-9 A-Z]),classification énergétique ([0-9 A-Z]),classification energetique \: ([0-9 A-Z]),classification energetique ([0-9 A-Z]),,
