Nom du lieu,Coordonne_x_millièmes,Coordonne_y_millièmes,Désignation
Hoche,24031,488913,Hoche
Hôtel de Ville,23514,488567,Hôtel de Ville
Iéna,22937,488644,Iéna
Invalides,23143,488616,Invalides
Jacques-Bonsergent,23605,488709,Jacques Bonsergent
Jasmin,22679,488523,Jasmin
Jaurès,23702,488825,Jaurès
Javel-André-Citroen,22784,488461,Javel - André Citroën
Jourdain,23891,488751,Jourdain
Jules Joffrin,23444,488924,Jules Joffrin
Jussieu,23546,488458,Jussieu
Kléber,22930,488710,Kléber
La Chapelle,23584,488839,La Chapelle
La Courneuve-8-Mai-1945,24104,489209,La Courneuve - 8 mai 1945
La Défense (Grande Arche),22378,488919,La Défense - Grande Arche
La Fourche,23260,488873,La Fourche
La Motte-Picquet-Grenelle,22979,488491,La Motte-Picquet - Grenelle
La Muette,22741,488579,La Muette
La Tour-Maubourg,23095,488573,La Tour Maubourg
Lamarck-Caulaincourt,23388,488897,Lamarck – Caulaincourt
Laumière,23795,488850,Laumière
Le Kremlin-Bicêtre,23616,488103,Le Kremlin-Bicêtre
Le Peletier,23398,488749,Le Peletier
Ledru-Rollin,23759,488511,Ledru-Rollin
Les Agnettes,22858,489229,Les Agnettes
Les Gobelins,23516,488366,Les Gobelins
Les Halles,23458,488621,Les Halles
Les Sablons (Jardin d'acclimatation),22725,488809,Les Sablons
Liberté,24069,488258,Liberté
Liège,23265,488795,Liège
Louis Blanc,23655,488810,Louis Blanc
Louise Michel,22881,488888,Louise Michel
Lourmel,22817,488384,Lourmel
Louvre-Rivoli,23410,488605,Louvre – Rivoli
Mabillon,23354,488528,Mabillon
Madeleine,23251,488700,Madeleine
Mairie d'Issy,22735,488248,Mairie d'Issy
Mairie d'Ivry,23838,488111,Mairie d'Ivry
Mairie de Clichy,23055,489036,Mairie de Clichy
Mairie de Montreuil,24416,488623,Mairie de Montreuil
Mairie de Saint-Ouen,23341,489120,Mairie de Saint-Ouen
Mairie des Lilas,24162,488797,Mairie des Lilas
Maison Blanche,23581,488226,Maison Blanche
Maisons-Alfort-Les Juilliottes,24449,488031,Maisons-Alfort – Les Juilliottes
Maisons-Alfort-Stade,24355,488084,Maisons-Alfort – Stade
Malakoff-Plateau de Vanves,22970,488231,Malakoff - Plateau de Vanves
Malakoff-Rue Etienne Dolet,22969,488146,Malakoff - Rue Étienne Dolet
Malesherbes,23096,488828,Malesherbes
Maraichers,24062,488526,Maraîchers
Marcadet-Poissonniers,23498,488908,Marcadet - Poissoniers
Marcel Sembat,22440,488339,Marcel Sembat
Marx-Dormoy,23602,488903,Marx Dormoy
Maubert-Mutualité,23485,488499,Maubert Mutualité
Ménilmontant,23833,488659,Ménilmontant
