requete,formattage,lat,lng
"rue+du+Midi,Paris,France","Rue du Midi, 75017 Paris, France",48.87959230000001,2.2796443
"rue+Jean+Moreas,Paris,France","Rue Jean Moreas, 75017 Paris, France",48.8869303,2.2922735
"rue+de+Pont+A+Mousson,Paris,France","Rue de Pont A Mousson, 75017 Paris, France",48.8981345,2.3240054
"place+du+Nicaragua,Paris,France","Ambassade du Nicaragua, 34 Avenue Bugeaud, 75116 Paris, France",48.87078409999999,2.2807068
"avenue+Niel,Paris,France","Avenue Niel, 75017 Paris, France",48.8815682,2.2957053
"rue+Jean+Oestreicher,Paris,France","Rue Jean Oestreicher, 75017 Paris, France",48.8867091,2.2889695
"boulevard+d'Aurelle+de+Paladines,Paris,France","Boulevard d'Aurelle de Paladines, Paris, France",48.8824401,2.2828952
"rue+Fernand+Pelloutier,Paris,France","Rue Fernand Pelloutier, 75017 Paris, France",48.89842489999999,2.3244372
"passage+Poncelet,Paris,France","Passage Poncelet, 75017 Paris, France",48.8799149,2.2975591
"voie+U/10,Paris,France","10U Voie 24, 75015 Paris, France",48.8382313,2.3148912
"rue+des+Abbesses,Paris,France","Rue des Abbesses, 75018 Paris, France",48.8849013,2.337466
"rue+Affre,Paris,France","Rue Affre, 75018 Paris, France",48.88611280000001,2.3556345
"allee+d'Andrezieux,Paris,France","Allee d'Andrezieux, 75018 Paris, France",48.8924271,2.3530263
"villa+des+Arts,Paris,France","Villa des Arts, 75018 Paris, France",48.887772,2.327132
"voie+AX/18,Paris,France","Paris, France",48.856614,2.3522219
"rue+Azais,Paris,France","Rue Azais, 75018 Paris, France",48.8860967,2.3418503
"rue+du+Baigneur,Paris,France","Rue du Baigneur, 75018 Paris, France",48.8901388,2.3449285
"voie+BD/18,Paris,France","18 Avenue la Voie Lactee, 92100 Boulogne-Billancourt, France",48.833382,2.2601481
"rue+Belhomme,Paris,France","Rue Belhomme, 75018 Paris, France",48.8842152,2.3485607
"voie+BH/18,Paris,France","Paris, France",48.856614,2.3522219
"rue+Emile+Chaine,Paris,France","Rue Emile Chaine, 75018 Paris, France",48.89313569999999,2.3506844
"rue+de+la+Chapelle,Paris,France","Rue de la Chapelle, 75018 Paris, France",48.8942458,2.3595178
"avenue+de+la+Porte+de+Clignancourt,Paris,France","Avenue de la Porte de Clignancourt, 75018 Paris, France",48.8995959,2.3444033
