requete,formattage,lat,lng
"rue+Tournefort,Paris,France","Rue Tournefort, 75005 Paris, France",48.8428457,2.3482037
"rue+Saint-Victor,Paris,France","Rue Saint-Victor, 75005 Paris, France",48.8483527,2.3508662
"boulevard+Saint-Marcel,Paris,France","Boulevard Saint-Marcel, Paris, France",48.8384846,2.3570328
"place+Valhubert,Paris,France","Place Valhubert, Paris, France",48.8441953,2.3639672
"boulevard+de+Port-Royal,Paris,France","Boulevard de Port-Royal, Paris, France",48.8379869,2.3440153
"rue+de+l'Abbaye,Paris,France","Rue de l'Abbaye, 75006 Paris, France",48.8541567,2.3350087
"place+d'Acadie,Paris,France","Paris, France",48.856614,2.3522219
"cour+du+Commerce+Saint-Andre,Paris,France","Cours du Commerce Saint-Andre, 75006 Paris, France",48.85267899999999,2.3387945
"rue+d'Assas,Paris,France","Rue d'Assas, Paris, France",48.8452559,2.3320151
"rue+Jean+Bart,Paris,France","Rue Jean Bart, 75006 Paris, France",48.8474095,2.3309939
"cite+Charles+Godon,Paris,France","Cite Charles Godon, 75009 Paris, France",48.879234,2.3410103
"rue+Halevy,Paris,France","Rue Halevy, 75009 Paris, France",48.8720346,2.3327264
"rue+Pierre+Haret,Paris,France","Rue Pierre Haret, 75009 Paris, France",48.883743,2.3304851
"rue+Henner,Paris,France","Rue Henner, 75009 Paris, France",48.880376,2.3330919
"rue+Joubert,Paris,France","Rue Joubert, 75009 Paris, France",48.8746575,2.3305365
"place+Kossuth,Paris,France","Place Kossuth, 75009 Paris, France",48.8760219,2.3401833
"rue+Lentonnet,Paris,France","Rue Lentonnet, 75009 Paris, France",48.879966,2.3475262
"square+de+Maubeuge,Paris,France","Square de Maubeuge, 75009 Paris, France",48.8785671,2.3464525
"rue+du+Cardinal+Mercier,Paris,France","Rue du Cardinal Mercier, 75009 Paris, France",48.8812347,2.3301231
"rue+Milton,Paris,France","Rue Milton, 75009 Paris, France",48.8782143,2.3410515
"rue+Thimonnier,Paris,France","Rue Thimonnier, 75009 Paris, France",48.8801651,2.3462465
"cite+de+Trevise,Paris,France","Cite de Trevise, 75009 Paris, France",48.87497219999999,2.3466978
"rue+de+la+Trinite,Paris,France","Rue de la Trinite, 75009 Paris, France",48.8776034,2.3309423
"place+Lino+Ventura,Paris,France","Place Lino Ventura, 75009 Paris, France",48.8805801,2.3404516
"passage+Verdeau,Paris,France","Passage Verdeau, 75009 Paris, France",48.8734725,2.3422981
"rue+de+la+Victoire,Paris,France","Rue de la Victoire, 75009 Paris, France",48.87521570000001,2.3352215
"rue+d'Abbeville,Paris,France","Rue d'Abbeville, Paris, France",48.8785372,2.3505639
"rue+de+Dunkerque,Paris,France","Rue de Dunkerque, Paris, France",48.8807242,2.3516484
"boulevard+de+Clichy,Paris,France","Boulevard de Clichy, Paris, France",48.8833209,2.3337632
"boulevard+du+Commandant+Charcot,Paris,France","Boulevard du Commandant Charcot, Paris, France",48.8771887,2.2567102
"rue+de+l'Essai,Paris,France","Rue de l'Essai, 75005 Paris, France",48.8390295,2.3585175
"rue+de+la+Harpe,Paris,France","Rue de la Harpe, 75005 Paris, France",48.8522158,2.344457
"rue+du+Puits+de+L'Ermite,Paris,France","Rue du Puits de l'Ermite, 75005 Paris, France",48.8422002,2.3526616
"square+Lagarde,Paris,France","Square Lagarde, 75005 Paris, France",48.84063889999999,2.347958
"rue+Lagarde,Paris,France","Rue Lagarde, 75005 Paris, France",48.8404918,2.3476982
"rue+Larrey,Paris,France","Rue Larrey, 75005 Paris, France",48.8423628,2.3535872
"rue+de+Latran,Paris,France","Rue de Latran, 75005 Paris, France",48.8496941,2.3464811
"rue+Gay-Lussac,Paris,France","Rue Gay-Lussac, 75005 Paris, France",48.844325,2.3420456
"place+Emile+Male,Paris,France","Place Emile Male, 75005 Paris, France",48.8449563,2.3532724
"rue+Malus,Paris,France","Rue Malus, 75005 Paris, France",48.843257,2.3527075
"rue+Theophile+Roussel,Paris,France","Rue Theophile Roussel, 75012 Paris, France",48.8499113,2.3767642
"rue+du+Colonel+Rozanoff,Paris,France","Rue du Colonel Rozanoff, 75012 Paris, France",48.8458518,2.387202
"place+Rutebeuf,Paris,France","Place Rutebeuf, 75012 Paris, France",48.8443227,2.3782356
"rue+de+la+Vega,Paris,France","Rue de la Vega, 75012 Paris, France",48.8383449,2.4051883
"square+de+la+Vendee,Paris,France","Square de la Vendee, 75012 Paris, France",48.8331482,2.399888
"allee+des+Vergers,Paris,France","Allee des Vergers, 75012 Paris, France",48.8337674,2.3961233
"cour+du+Chene+Vert,Paris,France","Cour du Chene Vert, 75012 Paris, France",48.8498125,2.3735397
"quai+d'Austerlitz,Paris,France","Quai d'Austerlitz, 75013 Paris, France",48.8408238,2.3694343
"rue+Jean+Antoine+de+Baif,Paris,France","Rue Jean Antoine de Baif, 75013 Paris, France",48.8273344,2.3832154
"passage+Barrault,Paris,France","Passage Barrault, 75013 Paris, France",48.828581,2.3487607
"impasse+Baudran,Paris,France","Impasse Baudran, 75013 Paris, France",48.8241447,2.3554562
"rue+de+Bellievre,Paris,France","Rue de Bellievre, 75013 Paris, France",48.8378069,2.3720997
"boulevard+Auguste+Blanqui,Paris,France","Boulevard Auguste Blanqui, Paris, France",48.830211,2.3474249
