requete,formattage,lat,lng
"passage+Bourgoin,Paris,France","Passage Bourgoin, 75013 Paris, France",48.8244796,2.3690123
"rue+Boutin,Paris,France","Rue Boutin, 75013 Paris, France",48.8283345,2.3421322
"rue+Jules+Breton,Paris,France","Rue Jules Breton, Paris, France",48.8380822,2.3582541
"rue+Bruneseau,Paris,France","Rue Bruneseau, 75013 Paris, France",48.8242116,2.3851191
"villa+Marcel+Lods,Paris,France","Villa Marcel Lods, 75019 Paris, France",48.8753752,2.3771713
"rue+Darmesteter,Paris,France","Rue Darmesteter, 75013 Paris, France",48.8228522,2.3753965
"rue+Jacques+Destree,Paris,France","Rue Jacques Destree, Paris, France",48.8167929,2.3547615
"voie+DG/13,Paris,France","13 Voie d'Issy, 92240 Malakoff, France",48.8138221,2.2798674
"voie+DO/13,Paris,France","13 Voie d'Issy, 92240 Malakoff, France",48.8138221,2.2798674
"passage+de+la+Vierge,Paris,France","Passage de la Vierge, 75007 Paris, France",48.8558004,2.3065915
"pont+de+l'Alma,Paris,France","Pont de l'Alma, Paris, France",48.8633633,2.3018604
"rue+Perignon,Paris,France","Rue Perignon, Paris, France",48.8474381,2.3082454
"avenue+de+La+Motte-Picquet,Paris,France","Avenue de la Motte-Picquet, 75007 Paris, France",48.8563989,2.3086164
"avenue+de+Saxe,Paris,France","Avenue de Saxe, Paris, France",48.8479444,2.3103148
"passerelle+Debilly,Paris,France","Passerelle Debilly, 75007 Paris, France",48.8617177,2.2975506
"rue+de+La+Baume,Paris,France","Rue de la Baume, 75008 Paris, France",48.8745843,2.3122024
"rue+Bayard,Paris,France","Rue Bayard, 75008 Paris, France",48.8663216,2.3078161
"rue+de+Berri,Paris,France","Rue de Berri, 75008 Paris, France",48.8730697,2.3053293
"rue+du+Boccador,Paris,France","Rue du Boccador, 75008 Paris, France",48.866827,2.30259
"rue+La+Boetie,Paris,France","Rue La Boetie, 75008 Paris, France",48.8732761,2.3122104
"place+du+General+Brocard,Paris,France","Paris, France",48.856614,2.3522219
"rue+de+Bucarest,Paris,France","Rue de Bucarest, Paris, France",48.8806728,2.3261336
"rue+Lord+Byron,Paris,France","Rue Lord Byron, 75008 Paris, France",48.8732149,2.3002032
"avenue+Cesar+Caire,Paris,France","Avenue Cesar Caire, 75008 Paris, France",48.8761679,2.3194579
"impasse+Molin,Paris,France","Impasse Molin, 75018 Paris, France",48.890574,2.3643059
"place+Nattier,Paris,France","Place Nattier, 75018 Paris, France",48.8901671,2.333091
"rue+Gerard+De+Nerval,Paris,France","Rue Gerard de Nerval, 75018 Paris, France",48.8997894,2.3347372
"boulevard+Ney,Paris,France","Boulevard Ney, Paris, France",48.8981634,2.3497865
"rue+d'Orchampt,Paris,France","Rue d'Orchampt, 75018 Paris, France",48.8865703,2.3375465
"rue+Pajol,Paris,France","Rue Pajol, 75018 Paris, France",48.8886105,2.3623116
"rue+de+Panama,Paris,France","Rue de Panama, 75018 Paris, France",48.8877969,2.3522359
"place+Constantin+Pecqueur,Paris,France","Place Constantin Pecqueur, 75018 Paris, France",48.889307,2.3379531
