requete,formattage,lat,lng
"rue+Francis+De+Miomandre,Paris,France","Rue Francis de Miomandre, 75013 Paris, France",48.81792249999999,2.3477889
"impasse+du+Petit+Modele,Paris,France","Impasse du Petit Modele, 75013 Paris, France",48.83263059999999,2.3594477
"rue+Guyton+De+Morveau,Paris,France","Rue Guyton de Morveau, 75013 Paris, France",48.82491470000001,2.3479953
"rue+de+la+Fontaine+A+Mulard,Paris,France","Rue de la Fontaine A Mulard, 75013 Paris, France",48.8229873,2.3488507
"place+du+Docteur+Navarre,Paris,France","Place Docteur Navarre, 75013 Paris, France",48.82786309999999,2.366248
"rue+Pean,Paris,France","Rue Pean, 75013 Paris, France",48.82200779999999,2.3718205
"rue+Pinel,Paris,France","Rue Pinel, 75013 Paris, France",48.83404609999999,2.3594803
"rue+Trolley+De+Prevaux,Paris,France","Rue Trolley de Prevaux, 75013 Paris, France",48.8260916,2.3725994
"rue+du+Chateau+des+Rentiers,Paris,France","Rue du Chateau des Rentiers, 75013 Paris, France",48.828305,2.3672643
"rue+Ricaut,Paris,France","Rue Ricaut, 75013 Paris, France",48.8297351,2.3614527
"rue+Nicolas+Roret,Paris,France","Rue Nicolas Roret, 75013 Paris, France",48.8358825,2.3537101
"square+de+Port-Royal,Paris,France","Square de Port-Royal, 75013 Paris, France",48.836861,2.3428965
"rue+Rubens,Paris,France","Rue Rubens, 75013 Paris, France",48.834098,2.3557056
"place+de+Rungis,Paris,France","Place de Rungis, 75013 Paris, France",48.82223,2.3466646
"impasse+de+la+Sante,Paris,France","Impasse de la Sante, 75013 Paris, France",48.83663380000001,2.3427501
"passage+Sigaud,Paris,France","Passage Sigaud, 75013 Paris, France",48.828028,2.3481959
"place+Souham,Paris,France","Place Souham, 75013 Paris, France",48.8288147,2.3675269
"rue+Yeo+Thomas,Paris,France","Rue Yeo Thomas, 75013 Paris, France",48.8314825,2.3624983
"rue+Thomire,Paris,France","Rue Thomire, 75013 Paris, France",48.8198836,2.3481954
"rue+Titien,Paris,France","Rue Titien, 75013 Paris, France",48.8361271,2.3582007
"villa+Tolbiac,Paris,France","Villa Tolbiac, 75013 Paris, France",48.8269804,2.3695735
"rue+Vandrezanne,Paris,France","Rue Vandrezanne, 75013 Paris, France",48.8279731,2.3553376
"square+du+Velay,Paris,France","Square du Velay, 75013 Paris, France",48.8230831,2.3761556
"rue+Vergniaud,Paris,France","Rue Vergniaud, 75013 Paris, France",48.8265278,2.3453431
"rue+Andre+Voguet,Paris,France","Rue Andre Voguet, Paris, France",48.8196732,2.3745535
"rue+des+Volubilis,Paris,France","Rue des Volubilis, 75013 Paris, France",48.8226944,2.3444825
"rue+Watteau,Paris,France","Rue Watteau, 75013 Paris, France",48.8350281,2.3567324
"rue+Simone+Weil,Paris,France","Rue Simone Weil, 75013 Paris, France",48.82361239999999,2.3643841
"avenue+Pierre+De+Coubertin,Paris,France","Avenue Pierre de Coubertin, Paris, France",48.8176676,2.3440473
"rue+Alain,Paris,France","Rue Alain, 75014 Paris, France",48.8368203,2.3162624
"rue+d'Alesia,Paris,France","Rue d'Alesia, Paris, France",48.8285539,2.3247595
"voie+AO/14,Paris,France","Paris, 14380, France",48.943447,-1.055286
"avenue+Paul+Appell,Paris,France","Avenue Paul Appell, 75014 Paris, France",48.8215241,2.32741
"rue+des+Arbustes,Paris,France","Rue des Arbustes, 75014 Paris, France",48.828255,2.3098709
"voie+BA/14,Paris,France","14 Voie Georges Pompidou, 75004 Paris, France",48.8522055,2.3603849
"passage+de+la+Providence,Paris,France","Passage de la Providence, 75020 Paris, France",48.8539345,2.4037764
"rue+des+Rasselins,Paris,France","Rue des Rasselins, 75020 Paris, France",48.8547528,2.4089685
"rue+Fernand+Raynaud,Paris,France","Rue Fernand Raynaud, 75020 Paris, France",48.8713627,2.3914214
