requete,formattage,lat,lng
"passage+du+Surmelin,Paris,France","Passage du Surmelin, 75020 Paris, France",48.8699344,2.4055435
"rue+du+Surmelin,Paris,France","Rue du Surmelin, 75020 Paris, France",48.869159,2.4052855
"rue+Taclet,Paris,France","Rue Taclet, 75020 Paris, France",48.8715459,2.3978281
"avenue+Taillade,Paris,France","Avenue Taillade, 75020 Paris, France",48.8745564,2.3940577
"rue+Leon+Schwartzenberg,Paris,France","Rue Leon Schwartzenberg, 75010 Paris, France",48.8759114,2.353765
"place+Cecile+Brunschvicg,Paris,France","Rue Cecile Brunschvicg, 31200 Toulouse, France",43.6133423,1.4216376
"voie+FO/13,Paris,France","Paris, France",48.856614,2.3522219
"voie+FP/13,Paris,France","La Voie Des Livres, 93 Rue de la Reunion, 75020 Paris, France",48.8565401,2.4001226
"voie+CG/18,Paris,France","Paris, France",48.856614,2.3522219
"esplanade+du+General+Casso,Paris,France","Paris, France",48.856614,2.3522219
"rue+Jules+Renard,Paris,France","Place Jules Renard, 75017 Paris, France",48.8845734,2.289229
"boulevard+Hippolyte+Marques,Paris,France","Boulevard Hippolyte Marques, 75013 Paris, France",48.8183541,2.3703152
"place+Louis+Aragon,Paris,France","Place Louis Aragon, Quai de Bourbon, 75004 Paris, France",48.8535713,2.3531526
"rue+Pierre+Castagnou,Paris,France","Rue Pierre Castagnou, 75014 Paris, France",48.83267499999999,2.3260235
"voie+CE/17,Paris,France","Paris, France",48.856614,2.3522219
"allee+Paul+Ricoeur,Paris,France","Paris, France",48.856614,2.3522219
"rue+Felix+Terrier,Paris,France","Rue Felix Terrier, 75020 Paris, France",48.8575694,2.4108047
"passage+des+Tourelles,Paris,France","Passage des Tourelles, 75020 Paris, France",48.8752661,2.4045454
"rue+de+Tourtille,Paris,France","Rue de Tourtille, Paris, France",48.871645,2.380971
"square+du+Var,Paris,France","Square du Var, 75020 Paris, France",48.848301,2.4122688
"square+Vitruve,Paris,France","Square Vitruve, 75020 Paris, France",48.8591995,2.4082844
