requete,formattage,lat,lng
"rue+Joseph+Dijon,Paris,France","Rue Joseph Dijon, 75018 Paris, France",48.8939197,2.3469083
"rue+Bernard+Dimey,Paris,France","Rue Bernard Dimey, 75018 Paris, France",48.89700810000001,2.3310047
"rue+Jean+Dollfus,Paris,France","Rue Jean Dollfus, 75018 Paris, France",48.8969587,2.3335407
"voie+E/18,Paris,France","18 Voie Georges Pompidou, 75004 Paris, France",48.8542125,2.3548903
"villa+Etex,Paris,France","Villa Etex, 75018 Paris, France",48.8906208,2.3287438
"rue+Etex,Paris,France","Rue Etex, 75018 Paris, France",48.8905895,2.3282428
"rue+des+Fillettes,Paris,France","Rue des Fillettes, France",48.911083,2.3659405
"impasse+Saint-Francois,Paris,France","Impasse Saint-Francois, 75018 Paris, France",48.8965037,2.3441699
"passage+Ganneron,Paris,France","Passage Ganneron, 75018 Paris, France",48.88997089999999,2.3267572
"villa+Pierre+Ginier,Paris,France","Villa Pierre Ginier, 75018 Paris, France",48.8872268,2.3268243
"rue+Girardon,Paris,France","Rue Girardon, 75018 Paris, France",48.8880601,2.3377956
"rue+du+Professeur+Gosset,Paris,France","Rue du Professeur Gosset, Paris, France",48.90135189999999,2.3480487
"place+Emile+Goudeau,Paris,France","Paris, France",48.856614,2.3522219
"rue+de+la+Guadeloupe,Paris,France","Rue de la Guadeloupe, 75018 Paris, France",48.8907227,2.3623122
"rue+du+Cardinal+Guibert,Paris,France","Rue du Cardinal Guibert, 75018 Paris, France",48.8865777,2.342582
"cite+Hermel,Paris,France","Cite Hermel, 75018 Paris, France",48.890543,2.3446963
"rue+des+Islettes,Paris,France","Rue des Islettes, 75018 Paris, France",48.8843627,2.3507658
"rue+Saint-Jerome,Paris,France","Rue Saint-Jerome, 75018 Paris, France",48.8867438,2.3548932
"rue+Jules+Jouy,Paris,France","Rue Jules Jouy, 75018 Paris, France",48.8905807,2.3417443
"passage+Kracher,Paris,France","Passage Kracher, 75018 Paris, France",48.89496519999999,2.3488106
"rue+Fernand+Labori,Paris,France","Rue Fernand Labori, 75018 Paris, France",48.8986376,2.3424046
"rue+du+Vieux+Colombier,Paris,France","Rue du Vieux Colombier, 75006 Paris, France",48.8514896,2.3314516
"place+Jacques+Copeau,Paris,France","Paris, France",48.856614,2.3522219
"voie+D/6,Paris,France","6 Voie d'Issy, 92240 Malakoff, France",48.8139754,2.2789233
"rue+de+l'Echaude,Paris,France","Rue de l'Echaude, 75006 Paris, France",48.8542695,2.3363073
"rue+Jean-Francois+Gerbillon,Paris,France","Rue Jean-Francois Gerbillon, 75006 Paris, France",48.847608,2.3246662
"impasse+Hautefeuille,Paris,France","Impasse Hautefeuille, 75006 Paris, France",48.8524855,2.3430024
"place+Andre+Honnorat,Paris,France","Place Andre Honnorat, 75006 Paris, France",48.844558,2.336491
"rue+Huysmans,Paris,France","Rue Huysmans, 75006 Paris, France",48.84558370000001,2.3286535
"place+de+l'Institut,Paris,France","Place de l'Institut, 75006 Paris, France",48.8575072,2.3368217
"place+Pierre+Lafue,Paris,France","Paris, France",48.856614,2.3522219
"allee+Arthur+Honegger,Paris,France","Allee Arthur Honegger, 75019 Paris, France",48.8881045,2.3946266
"rue+d'Alsace-Lorraine,Paris,France","Rue d'Alsace-Lorraine, 75019 Paris, France",48.8834071,2.3922179
"quai+du+Lot,Paris,France","Avenue de Paris, 47300 Villeneuve-sur-Lot, France",44.4462351,0.7041427000000001
"place+du+Maroc,Paris,France","Rue du Maroc, 75019 Paris, France",48.8866081,2.3690828
"rue+Melingue,Paris,France","Rue Melingue, Paris, France",48.8755655,2.3857647
"rue+de+la+Meurthe,Paris,France","Rue de la Meurthe, 75019 Paris, France",48.88949040000001,2.3830901
"rue+des+Mignottes,Paris,France","Rue des Mignottes, 75019 Paris, France",48.87981,2.3916618
"avenue+Moderne,Paris,France","Avenue Moderne, 75019 Paris, France",48.8835884,2.3821128
"promenade+Signoret-Montand,Paris,France","Paris, France",48.856614,2.3522219
"rue+de+Mouzaia,Paris,France","Rue de Mouzaia, 75019 Paris, France",48.880316,2.3948049
"voie+N/19,Paris,France","19 Voie Georges Pompidou, 75004 Paris, France",48.8542102,2.3548962
"rue+de+Nantes,Paris,France","Rue de Nantes, 75019 Paris, France",48.8920527,2.3817055
"rue+de+l'Orme,Paris,France","Rue de l'Orme, 75019 Paris, France",48.878538,2.4001152
"avenue+de+la+Porte+de+Pantin,Paris,France","Avenue de la Porte de Bagnolet, 75020 Paris, France",48.8648563,2.4106727
"rue+de+Perigueux,Paris,France","Rue de Perigueux, 75019 Paris, France",48.8843286,2.3957238
"route+des+Petits+Ponts,Paris,France","Route des Petits Ponts, 75019 Paris, France",48.89202479999999,2.3982981
"rue+Pradier,Paris,France","Rue Pradier, 75019 Paris, France",48.8758259,2.3820768
"rue+Preault,Paris,France","Rue Preault, 75019 Paris, France",48.8776999,2.3826826
"villa+du+Progres,Paris,France","Villa du Progres, 75019 Paris, France",48.8807293,2.3941081
"rue+Raymond+Radiguet,Paris,France","Rue Raymond Radiguet, 75019 Paris, France",48.89249479999999,2.370981
"rue+Gaston+Rebuffat,Paris,France","Rue Gaston Rebuffat, 75019 Paris, France",48.884725,2.3684131
"voie+S/19,Paris,France","19 Voie Georges Pompidou, 75004 Paris, France",48.8542102,2.3548962
"villa+des+Sizerins,Paris,France","Villa des Sizerins, 75019 Paris, France",48.88229940000001,2.3906578
"place+Skanderbeg,Paris,France","Place Skanderbeg, 75019 Paris, France",48.90101500000001,2.3717391
"rue+de+la+Solidarite,Paris,France","Rue de la Solidarite, France",48.85286,2.4434036
"rue+Michel+Tagrine,Paris,France","Rue Michel Tagrine, 75019 Paris, France",48.8778811,2.3754548
"rue+Saint-Charles,Paris,France","Rue Saint-Charles, 75015 Paris, France",48.8447684,2.2839
"rue+Clodion,Paris,France","Rue Clodion, 75015 Paris, France",48.8515162,2.2922583
"impasse+du+Commerce,Paris,France","Impasse du Commerce, 75015 Paris, France",48.8457421,2.2938203
"rue+de+la+Montagne+D'Aulas,Paris,France","Rue de la Montagne d'Aulas, 75015 Paris, France",48.8402866,2.2789906
