requete,formattage,lat,lng
"boulevard+de+Menilmontant,Paris,France","Boulevard de Menilmontant, Paris, France",48.8629997,2.3871494
"voie+AC/12,Paris,France","Paris, France",48.856614,2.3522219
"voie+AI/12,Paris,France","Paris, France",48.856614,2.3522219
"route+Aimable,Paris,France","Route Aimable, 75012 Paris, France",48.8278178,2.4243577
"rue+Albinoni,Paris,France","Rue Albinoni, 75012 Paris, France",48.8425269,2.3888096
"cour+d'Alger,Paris,France","Cour d'Alger, 75012 Paris, France",48.8472743,2.3683845
"voie+AO/12,Paris,France","Paris, France",48.856614,2.3522219
"rue+du+General+Archinard,Paris,France","Rue du General Archinard, 75012 Paris, France",48.8379765,2.4111287
"rue+Beccaria,Paris,France","Rue Beccaria, 75012 Paris, France",48.8475429,2.3789629
"route+Brulee,Paris,France","Route Brulee, 75012 Paris, France",48.8355632,2.4266333
"passage+Brulon,Paris,France","Passage Brulon, 75012 Paris, France",48.8496409,2.3801622
"rue+Cailletet,Paris,France","Rue Cailletet, 94160 Paris, France",48.8428708,2.4147048
"rue+de+la+Nouvelle-Caledonie,Paris,France","Rue de la Nouvelle-Caledonie, 75012 Paris, France",48.8381197,2.4089274
"rue+Emilio+Castelar,Paris,France","Rue Emilio Castelar, 75012 Paris, France",48.84905639999999,2.3759633
"voie+CG/12,Paris,France","Paris, France",48.856614,2.3522219
"rue+du+Chaffault,Paris,France","Rue du Chaffault, 75012 Paris, France",48.8451834,2.4149795
"rue+de+Charenton,Paris,France","Rue de Charenton, 75012 Paris, France",48.8432286,2.385343
"rue+du+Charolais,Paris,France","Rue du Charolais, 75012 Paris, France",48.84182149999999,2.385208
"rue+Victor+Chevreuil,Paris,France","Rue Victor Chevreuil, 75012 Paris, France",48.8417735,2.403577
"voie+CI/12,Paris,France","Paris, France",48.856614,2.3522219
"rue+Ginette+Neveu,Paris,France","Rue Ginette Neveu, 75018 Paris, France",48.8998977,2.3455447
"rue+Charles+Nodier,Paris,France","Rue Charles Nodier, 75018 Paris, France",48.8852078,2.3449101
"rue+du+Pole+Nord,Paris,France","Rue du Pole N, 75018 Paris, France",48.8943377,2.3384161
"rue+d'Oran,Paris,France","Rue d'Oran, 75018 Paris, France",48.8890075,2.3526246
"rue+du+Marche+Ordener,Paris,France","Rue du Marche Ordener, 75018 Paris, France",48.8942969,2.334494
"rue+de+l'Abbe+Patureau,Paris,France","Rue de l'Abbe Patureau, 75018 Paris, France",48.8893101,2.3418065
"rue+Deveria,Paris,France","Rue Deveria, 75020 Paris, France",48.8722714,2.3988228
"rue+de+la+Dhuis,Paris,France","Rue de la Dhuis, 75020 Paris, France",48.8679696,2.4048333
"rue+Dulaure,Paris,France","Rue Dulaure, 75020 Paris, France",48.8664309,2.4101384
"rue+Duris,Paris,France","Rue Duris, 75020 Paris, France",48.8654526,2.3876779
"cite+des+Ecoles,Paris,France","Cite des Ecoles, 75020 Paris, France",48.86602999999999,2.3952274
"voie+EG/20,Paris,France","Paris, France",48.856614,2.3522219
"voie+EH/20,Paris,France","Paris, France",48.856614,2.3522219
"voie+EL/20,Paris,France","Voie V 20, 75020 Paris, France",48.870057,2.390096
"voie+EP/20,Paris,France","Paris, France",48.856614,2.3522219
"voie+ER/20,Paris,France","Paris, France",48.856614,2.3522219
"voie+ES/20,Paris,France","Paris, France",48.856614,2.3522219
